keyword,count
indirect pathways,17
herbivores,16
herbivore species,13
critical transition,12
seasonality,11
ecological networks,10
connectivity parameter,9
tropical forests,8
Phytochemical Diversity,8
critical transitions,7
connected phase,7
phytochemical diversity,7
cascading effects,6
giant component,5
indirect effects,5
disconnected phase,5
herbivory,5
Bascompte,5
United States of America,5
rainy season,4
herbivorous insects,4
chemical defenses,4
Mutualistic Networks,4
Phytochemical diversity,3
Brazil,3
ecological systems,3
ecological interactions,3
probability distribution,3
adjacency matrix,3
Seasonality,3
amalago individuals,3
Royal Society,3
Ecological Networks,3
insect species,2
seasonal changes,2
Ecological networks,2
thenetwork,2
ecological communities,2
resource availability,2
chemical compounds,2
plants,2
environmental variation,2
dry season,2
environmental fluctuations,2
amalago,2
caterpillars,2
caterpillar species,2
amalago leaves,2
structural dimension,2
interaction events,2
replica network,2
connected structural phases,2
indirect pathway,2
herbivore network,2
power series,2
ecological dynamics,2
SEM,2
phase transition,2
connected structural phase,2
indirectpathways,2
indirect interactions,2
FAPESP,2
Universitat Zurich,2
Zenodo,2
Coevolution,2
Ecological Complexity,2
Assis,2
Herbivore Network Structure,2
Springer International Publishing,2
Interactions,2
National Academy of Sciences,2
Indirect Effects,2
Systematics,2
Tropical Insect Abundance,2
Critical Transitions,2
Evolutionary Biology,1
Environmental Studies,1
Biologia Animal,1
natural phenomena,1
population outbreaks,1
Ecological interactions,1
tropical forest,1
critical network,1
chemical ecology,1
chemodiversity,1
Critical transitions,1
networks,1
the,1
irown critical transitions,1
open access article,1
Creative Commons Attribution License,1
Wiley Periodicals LLC,1
Ecological Society of America,1
isolated clusters of nodes,1
connected phases,1
percolation thresholds,1
epidemics,1
transportation networks,1
direct interactions,1
cascadingeffects,1
separate components,1
single ecological network,1
aconnected phase,1
fragmented networks,1
species traits,1
life cycle events,1
interacting species,1
Connected phase,1
Disconnected phase,1
network nodes,1
Piper amalago individuals,1
amalago changes,1
Behavioral traits,1
feeding preferences,1
foraging strategies,1
food webs,1
chemical traits,1
secondary compounds,1
environmental stressors,1
palatability,1
critical structural transitions,1
one,1
water stress,1
primary productivity,1
diet breadth,1
connected network,1
community resilience,1
network,1
alternative host plants,1
local extinction,1
connectivity,1
herbivory pressure,1
plant species,1
Piper amalago L,1
plant individuals,1
Individual plants,1
herbivore dataset,1
neotropical shrub,1
sampling procedure,1
amalago plants,1
trails,1
collected,1
morphospecies,1
plastic pots,1
secondary metabolites,1
phytochemical profiles,1
t,1
diversity,1
Phytochemical mixtures,1
chemical structures,1
positional dimension,1
structural,1
amalago individual,1
methanolic extracts,1
Network structural phases,1
randomgraph theory,1
interacting nodes,1
bipartitenetworks,1
structural critical trans,1
tion,1
frequent herbivore species,1
empirical network,1
random interactions,1
relative frequency,1
ilost,1
Statistical analysis,1
piis,1
piecewise structural equation modeling,1
Structural equation models,1
induced chemical responses,1
direct separation tests,1
Gaussian error dist,1
generalized linear model,1
binomial error distribution,1
connectedphase,1
adjacency matrices,1
jinteract,1
incidence matrix,1
Nanimals animals,1
total effects,1
identity matrix,1
inecology,1
food web,1
minimum value,1
pathways,1
effects,1
pairwise direct effects,1
indirect pathwayschanges,1
dry seasonnetworks,1
Crainy,1
network sizes,1
giant components,1
planttraits,1
caterpillar abundance,1
Piper,1
structural features,1
individual plants,1
structural PD,1
Giant components,1
Piper amalago,1
orous caterpillar species,1
structural phases,1
mean values,1
dashed,1
empirical networks,1
dry season networks,1
networkpathways,1
rainy season network,1
Interaction probability,1
structural equation model,1
compositional phytochemical diversity,1
component,1
statistically significant paths,1
Solid lines,1
dashed lines,1
standardized estimates,1
dry season network,1
ore network,1
boxplot,1
observed empirical networks,1
pathway proliferation,1
natural logarithm,1
,1
bootstrap,1
complex systems,1
biodiversity,1
ecosystem collapse,1
pest outbreaks,1
empirical interaction networks,1
Tropical forests,1
abiotic environment,1
plant productivity,1
interac tion evenness,1
seasonal systems,1
individual traits,1
critical trans,1
