keyword,count
pollinators,57
plant volatiles,37
herbivores,36
natural enemies,32
volatiles,21
floral volatiles,21
insects,19
HIPVs,16
herbivory,14
insect herbivores,11
volatile emissions,11
agroecosystems,10
insect groups,9
pollination,9
reproduction,7
maize,7
parasitoids,7
Entomol,7
Environmental Entomology,6
reprints,6
ecosystem services,6
Plant volatiles,6
insect communities,6
Pest Manag,6
Schiestl FP,6
beneficial insects,5
pest management,5
insect pests,5
crop plants,5
indirect defense,5
temporal variation,5
anthropogenic factors,5
Herbivores,4
plant volatile emissions,4
flowers,4
pollination services,4
pollinator attraction,4
honey bees,4
abiotic stressors,4
Baldwin IT,4
PLoS,4
Entomology,3
volatile organic compounds,3
volatile compounds,3
2024,3
Entomological Society of America,3
insect behaviors,3
plant fitness,3
plant defense,3
crop yield,3
volatile duality,3
insect attraction,3
repellence,3
insect functional group,3
atiles,3
indole,3
floral volatile emissions,3
Pollinators,3
caterpillars,3
seed production,3
cash crops,3
Cotesia,3
lures,3
phenotypic plasticity,3
tritrophic interactions,3
Brassica rapa,3
plant,3
Thompson MN,3
agriculturally,2
University of Maryland,2
semiochemical tools,2
chemical ecology,2
flowering plants,2
ecological theory,2
Oxford University Press,2
Open Access article,2
translation rights,2
RightsLink service,2
Chemical Ecology,2
induced volatiles,2
plant volatile blends,2
foraging insects,2
agricultural production,2
agricultural insect management,2
crop plant species,2
cucumber,2
lima bean,2
herbivorous insect pests,2
natural enemy activity,2
plant species,2
2020,2
Aquilaria sinensis,2
predatory mites,2
methyl salicylate,2
herbivorous pests,2
HIPV emissions,2
pointed arrows,2
insect management,2
herbivore immunity,2
biological control,2
Volatiles Mediate Plant Interactions,2
sexual reproduction,2
insect pollinators,2
florivores,2
agricultural crops,2
nocturnal pollinators,2
wild tobacco,2
attenuata,2
herbivorous insects,2
ores,2
butterflies,2
pollinator behaviors,2
aphids,2
parasitoid attraction,2
crop species,2
chemical interactions,2
synthetic volatile lures,2
conventional farms,2
plant reproduction,2
crop varieties,2
breeding,2
USDA,2
molecular mechanisms,2
Phytochemistry,2
Chemical ecology,2
Turlings,2
volatile,2
Desurmont GA,2
Floral volatiles,2
parasitic wasps,2
biological control agents,2
fall armyworm,2
floral scent,2
bodyguards,2
differential attraction,2
Herbivory,2
Arthropod Plant Interact,2
