keyword,count
climate change,97
climate crisis,68
Plato,61
Climate Academy,56
students,54
capitalism,47
India,45
democracy,38
Academy,29
media,29
Rousseau,29
history,28
CUTx Index,28
Anthropocene,26
Socrates,26
planetary boundaries,25
UK,25
carbon budget,25
greenhouse gases,23
education,21
tipping points,20
Piraeus,20
UN,18
UNFCCC,18
innovation,18
sustainability,16
BBC,16
USA,15
human history,14
Civil Rights Movement,14
recycling,13
human civilisation,13
Tennis Court Oath,13
Pakistan,13
humans,12
greenhouse gas emissions,12
Germany,12
fossil fuel industry,12
famine,12
culture,12
Philosophy,12
climate anxiety,12
Rosa Parks,11
Athenians,11
Geometry,11
United Nations,10
sustainability crisis,10
psychology,10
children,10
grammar,10
biodiversity,10
Bangladesh,10
East India Company,10
schools,10
Kafka,10
plastic waste,9
resilience,9
global warming,9
Physics,9
France,9
human rights,9
women,9
Robespierre,9
democracies,9
media coverage,9
crisis,9
young people,9
Athens,9
Academia,9
Tipping Points,8
music,8
atmosphere,8
Industrial Revolution,8
vital statistics,8
freedom,8
Wikipedia,8
climate system,8
China,8
Mahler,8
guilt,8
Cephalus,8
Spaceship Earth,7
Galileo,7
Holocene,7
CUTx index,7
History,7
Climate Anxiety,7
climate science,7
biodiversity loss,7
human life,7
humanity,7
Capitalism,7
Paris Agreement,7
fossil fuels,7
America,7
EU,7
British,7
society,7
economic growth,7
reality,7
truth,7
systemic change,7
Emmett Till,7
anxiety,7
beliefs,6
greenhouse gas concentrations,6
natural world,6
human population,6
human development,6
nuclear power,6
agriculture,6
solar panels,6
resource extractions,6
medium confidence,6
plastics,6
cornflakes,6
democratic rule,6
human condition,6
virtues,6
index,6
status quo,6
belief,6
GDP,6
leadership,6
God,6
Mass Extinction Events,5
art,5
human civilization,5
mainstream science,5
Sweden,5
Geography,5
The,5
human society,5
Keeling Curve,5
homo sapiens,5
biosphere,5
population,5
civilization,5
resource extraction,5
Enlightenment,5
politics,5
Thermodynamics,5
closed mass system,5
population growth,5
existential crisis,5
UNEP,5
circular economy,5
modelling,5
carbon capture,5
internet,5
World Meteorological Organization,5
Martin Luther King,5
justice,5
French Revolution,5
inequality,5
Social Contract,5
teachers,5
Economics,5
social media,5
Australia,5
CUTx,5
Switzerland,5
economy,5
United Kingdom,5
racism,5
colonialism,5
extreme weather events,5
COP26,5
complex systems,5
Biology,5
ozone layer,5
DNA,5
tipping point,5
paradigm,5
science,5
Overton Window,5
IMF,5
human psychology,5
literature,5
irony,5
prisoners,5
Adaptive Cycle,5
Metaphysics,5
bees,5
English,4
natural disasters,4
dinosaurs,4
cats,4
Antarctica,4
Planet Earth,4
astronauts,4
Closed Mass System,4
International Resource Panel,4
nationalism,4
emissions,4
infrastructure,4
Tennis Court,4
symbolic order,4
nations,4
Democracy,4
existential threat,4
happiness,4
populism,4
public space,4
football,4
courage,4
Third Reich,4
Europe,4
UHD nation,4
British Raj,4
British rule,4
Late Victorian Holocausts,4
Capitalocene,4
UHD nations,4
misinformation,4
transparency,4
European Commission,4
social reality,4
rigidity trap,4
climate education,4
precautionary principle,4
velodrome,4
Jet Stream,4
imagination,4
Boreal forests,4
Alaska,4
Uranus,4
law,4
NAACP,4
Climate Change,4
Psychology,4
Trojan Horse,4
poetry,4
resonance,4
hot air balloon,4
natural resources,4
global economy,4
