keyword,count
climate change,100
climate crisis,72
CREATIVE COMMONS,67
Plato,63
Climate Academy,53
students,48
India,46
democracy,45
capitalism,40
Academy,32
media,30
Rousseau,28
UK,26
Anthropocene,26
history,25
carbon budget,25
Socrates,25
Piraeus,23
CUTx,22
planetary boundaries,21
greenhouse gases,21
tipping points,20
CRE,19
UN,19
BBC,19
UNFCCC,18
Civil Rights Movement,16
education,16
schools,15
innovation,15
human civilisation,14
Pakistan,14
Kafka,14
sustainability,13
human history,13
ONS,13
USA,13
recycling,12
Philosophy,12
Germany,12
France,12
United Nations,11
children,11
biodiversity,11
famine,11
British,11
Rosa Parks,11
climate anxiety,11
Athenians,11
Academia,11
Geometry,11
psychology,10
greenhouse gas emissions,10
resource extractions,10
humans,10
culture,10
fossil fuel industry,10
women,10
Bangladesh,10
democracies,10
grammar,10
Mahler,10
Athens,10
Paris Agreement,9
CREATIVE,9
Industrial Revolution,9
music,9
fossil fuels,9
Tennis Court Oath,9
humanity,9
East India Company,9
science,9
young people,9
CC,8
Tipping Points,8
Climate Anxiety,8
sustainability crisis,8
greenhouse gas concentrations,8
resilience,8
Physics,8
History,8
Index,8
human life,8
China,8
Capitalism,8
systemic change,8
Tennis Court,8
climate system,8
truth,8
God,8
Spaceship Earth,7
Chemistry,7
Holocene,7
The Climate Academy,7
human population,7
human condition,7
society,7
vital statistics,7
economic growth,7
cornflakes,7
