keyword,count
climate change,91
climate crisis,65
Plato,65
Climate Academy,49
students,48
democracy,43
India,43
capitalism,38
Academy,35
media,30
Piraeus,27
Socrates,26
UK,25
greenhouse gases,25
Anthropocene,25
Rousseau,25
history,24
CUTx Index,22
carbon budget,21
planetary boundaries,19
UN,18
BBC,18
tipping points,17
education,15
schools,15
human civilisation,14
UNFCCC,14
Civil Rights Movement,14
sustainability,13
USA,13
Pakistan,13
Philosophy,12
human history,12
France,12
innovation,12
children,11
recycling,11
greenhouse gas emissions,11
Germany,11
culture,11
famine,11
Rosa Parks,11
Kafka,11
Athens,11
Athenians,11
Academia,11
Geometry,11
United Nations,10
music,10
grammar,10
biodiversity,10
resource extractions,10
humans,10
Tennis Court Oath,10
women,10
democracies,10
Mahler,10
sustainability crisis,9
psychology,9
Physics,9
Paris Agreement,9
Industrial Revolution,9
science,9
fossil fuels,9
fossil fuel industry,9
humanity,9
British,9
Bangladesh,9
media coverage,9
young people,9
guilt,9
Climate Anxiety,8
resilience,8
China,8
Tennis Court,8
Robespierre,8
climate system,8
East India Company,8
Emmett Till,8
climate anxiety,8
Spaceship Earth,7
human civilization,7
Chemistry,7
status quo,7
Holocene,7
greenhouse gas concentrations,7
human life,7
global warming,7
CO2 emissions,7
society,7
politics,7
Capitalism,7
economic growth,7
freedom,7
God,7
Mass Extinction Events,6
Tipping Points,6
Geography,6
beliefs,6
CUTx index,6
History,6
biodiversity loss,6
human population,6
resource extraction,6
nuclear power,6
human condition,6
Enlightenment,6
closed mass system,6
circular economy,6
global economy,6
vital statistics,6
solar panels,6
systemic change,6
human rights,6
Social Contract,6
imagination,6
EU,6
irony,6
Climate Change,6
GDP,6
rigidity trap,6
tipping point,6
ozone layer,6
belief,6
Galileo,6
Overton Window,6
human psychology,6
truth,6
Emile,6
anxiety,6
Sweden,5
Biology,5
climate,5
extreme weather events,5
climate science,5
plastic waste,5
Keeling Curve,5
human development,5
homo sapiens,5
gold,5
UNEP,5
agriculture,5
emissions,5
modelling,5
existential threat,5
Martin Luther King,5
cornflakes,5
Europe,5
America,5
democratic rule,5
Australia,5
Switzerland,5
British rule,5
famines,5
racism,5
civilization,5
COP26,5
Boreal forests,5
reality,5
paradigm,5
Uranus,5
IMF,5
Psychology,5
leadership,5
resonance,5
virtues,5
civic engagement,5
Sparta,5
Spartans,5
Cephalus,5
prisoners,5
justice,5
bees,5
Paradigm Shifts,4
Ethics,4
mainstream science,4
News Decoder,4
English,4
reason,4
natural world,4
population,4
extinction event,4
cyanobacteria,4
photosynthesis,4
cats,4
Montreal Protocol,4
YouTube,4
Thermodynamics,4
ium,4
universe,4
existential crisis,4
International Resource Panel,4
internet,4
COP21,4
Global Warming,4
negative emissions,4
carbon footprint,4
French Revolution,4
ancien regime,4
Democracy,4
Guernica,4
populism,4
public space,4
football,4
teachers,4
United States,4
index,4
Third Reich,4
crisis,4
drought,4
British Raj,4
economy,4
Late Victorian Holocausts,4
United Kingdom,4
colonialism,4
UHD nations,4
government,4
IPCC,4
plastics,4
climate education,4
individual actions,4
Alaska,4
Jet Stream,4
DNA,4
Newton,4
Newtonian Physics,4
Solar System,4
Bible,4
Deep South,4
NAACP,4
Trojan Horse,4
Republicans,4
problem solving,4
Instagram,4
poetry,4
social media,4
Wikipedia,4
Rousse,4
Systems Entrepreneurship,4
western culture,4
grief,4
Tennyson,4
bureaucracy,4
The Castle,4
Adaptive Cycle,4
Metaphysics,4
Student Book,3
art,3
religion,3
human activity,3
polar bears,3
floods,3
medical emergency,3
hyperpyrexia,3
polar regions,3
Climate change,3
critical thinking,3
Cornflakes,3
Victorian England,3
humility,3
human society,3
average global temperature,3
public imagination,3
climate activism,3
ecological systems,3
reasoning,3
World Meteorological Organization,3
methane,3
human beings,3
biosphere,3
dinosaurs,3
natural resources,3
geological time,3
nuclear fusion,3
economic activity,3
Antarctica,3
Belgium,3
astronauts,3
population growth,3
supernova,3
mining,3
mobile phone,3
equality,3
nationalism,3
beauty,3
public opinion,3
Brazil,3
Buddhists,3
energy transition,3
investments,3
climate justice,3
legislation,3
noble gases,3
cultural memory,3
inequality,3
COP meeting,3
anthropogenic interference,3
C,3
Art,3
Economics,3
misinformation,3
World War One,3
Ancient Greeks,3
disinformation,3
emissions reductions,3
life expectancy,3
CUTx,3
external costs,3
Capitalocene,3
genocide,3
Great Famine,3
Bengal Famine,3
Indian economy,3
electric cars,3
Egypt,3
peloton,3
ExxonMobil,3
European Commission,3
Luxembourg,3
infrastructure,3
transparency,3
social reality,3
climate modelling,3
NASA,3
anatomy,3
chaotic change,3
Aristotle,3
Relativity,3
paradigms,3
complex systems,3
Wikicommons,3
Quantum Physics,3
trial,3
Civil Rights Act,3
Mamie Till,3
Soul Music,3
vertigo,3
political,3
free market,3
denialism,3
climate awareness,3
common,3
law,3
court case,3
Cassandra,3
Motion Blindness,3
LM,3
Sorites Paradox,3
cognitive dissonance,3
survey,3
Einstein,3
scientific reasoning,3
supermarket,3
morality,3
openness,3
hot air balloon,3
desires,3
renewables,3
creativity,3
Climate Academy student,3
Climate Academy students,3
Climate Academy programme,3
Civic Engagement,3
modernity,3
ecological anxiety,3
Franz Kafka,3
humour,3
ancient Athens,3
seamanship,3
The Climate Academy,3
graduates,3
purpose,3
value,3
golden ratio,3
bee population,3
metaphysics,3
GreenComp,3
European School,2
CUTx Percent Index,2
human sciences,2
core content,2
mass extinction event,2
climate emergency,2
educational system,2
primary school,2
sustainable development,2
Durham Cathedral,2
Upper Room,2
hurricanes,2
vital organs,2
albedo,2
thermal energy,2
sensory animals,2
systemic crisis,2
climate scientists,2
peer teaching,2
problem framing,2
social change,2
Psychology of Climate Change,2
Phil,2
vital statistic,2
Greenhouse gases,2
scientific research,2
Mauna Loa Observatory,2
mammals,2
Space Land,2
HadCRUT4 data,2
industrial revolution,2
Met Office,2
Hadley Centre,2
Climatic Research Unit,2
heat stress,2
chickens,2
natural disasters,2
Hawaii,2
American Association,2
ecological system,2
Siberian Traps,2
Geology,2
cows,2
pigs,2
dogs,2
meteorites,2
steam engine,2
Greek words,2
Anthropos,2
biomass,2
Nuclear deposits,2
resource consumption,2
economic development,2
Seaspiracy,2
ginger biscuits,2
ecocide,2
wildfires,2
renewable green energy,2
scientific knowledge,2
Hiroshima,2
Nicaragua,2
documentary,2
Planet Earth,2
streetlights,2
Equator,2
Arts,2
Netflix,2
Closed Mass System,2
fairness,2
Thought experiments,2
Periodic Table,2
Entropy,2
child,2
linear economy,2
economic model,2
thermodynamics,2
Abel,2
city life,2
difficulty rating,2
Medium Developed nations,2
IRP,2
finite planet,2
capitalist economy,2
community,2
connectivity,2
Western culture,2
Money,2
Thibault,2
economic system,2
radiative forcing,2
United Nations Environment Programme,2
Netherlands Environmental Assessment Agency,2
earth surface,2
OnlyOneEarth,2
greenhouses gases,2
national government,2
carbon budget limits,2
NDC,2
climate action,2
nations,2
industrialised nations,2
carbon capture technology,2
global heating,2
green initiatives,2
national governments,2
myths,2
solar power,2
Homo Sapiens Foundation,2
populations,2
narrative capture,2
United Nations Framework Convention on,2
Conflakes,2
painting,2
brotherhood,2
corruption,2
freeze frame,2
guillotine,2
democratic space,2
UNHQ,2
French,2
Mesopotamia,2
World War II,2
USSR,2
Spain,2
Picasso,2
greed,2
Entitlement,2
global wealth,2
committee room,2
peasants,2
coffee,2
democratic debate,2
algorithms,2
metaphor,2
climate change news,2
homework,2
Japan,2
Bank of England,2
democratic society,2
UNFCCC website,2
solar energy,2
horseshit,2
COP meetings,2
idiocy,2
violence,2
courage,2
2,2
fridge magnet,2
Europeans,2
MAPA,2
Africa,2
UHD nation,2
English school children,2
draught,2
deaths,2
death tolls,2
Statistical Society,2
El Niño Famines,2
emission reductions,2
2°C,2
High Developed Nations,2
Global North,2
Anthopocene,2
industries,2
tea,2
Queen Victoria,2
operating system,2
textiles,2
Indians,2
Churchill,2
land use,2
