keyword,count
rice,60
India,44
genotypes,33
Cuttack,28
rice genotypes,23
grain yield,22
Odisha,17
rice varieties,15
ICAR,13
CRRI,13
rice yield,11
rice production,10
farmers,9
genes,8
rice bran,8
hybrids,8
rice straw,8
GHG emissions,7
sheath blight disease,7
melatonin,7
haplotypes,7
stress tolerance,6
imidacloprid,6
fecundity,6
national average,6
productivity,6
profitability,6
rice variety,6
PH,6
pesticides,6
genetic resources,5
resilience,5
anaerobic germination,5
varietal development,5
Pooja,5
value addition,5
natural farming,5
Trichoderma,5
brown manuring,5
AMF,5
yellow stem borer,5
moisture content,5
sustainability,5
salinity stress,5
CMS,5
organic nutrient management,5
soil health,5
seed treatment,5
susceptible genotypes,5
oryzae,5
isolates,5
training,5
Central Rice Research Institute,4
genome,4
rice germplasm accessions,4
rice germplasm,4
protein content,4
submergence tolerance,4
panicle length,4
Oryza,4
punctata,4
coarctata,4
grain quality,4
salinity tolerance,4
rice productivity,4
system productivity,4
rainfall,4
catalase,4
resistant genotypes,4
QTL,4
bakanae disease,4
potassium silicate amendment,4
continuum removal,4
Sclerotium rolfsii,4
carbendazim,4
integrated weed management,4
abiotic stresses,4
Rice,4
yield,4
survival percentage,4
Breeding lines,4
root length,4
gen,4
rice germplasm lines,4
leaf blast,4
false smut,4
NGR,4
sheath blight,4
validation,4
rice genotype,4
fodder quality,4
RPM1,4
FYM,4
assimilation,4
organic farming,4
varieties,4
nutritional quality,4
climate change,4
ARC collections,4
virens,4
VOCs,4
soil application,4
Grain production,4
LC50 value,4
edited lines,4
stagnant flooding stress,4
Estb Mgmt HPH,4
rice area,4
ELNET,4
paddy,4
KVK,4
Wind Velocity,4
Genetic Improvement,3
nucleus seed,3
conservation agriculture,3
AICRP,3
multiple abiotic stress tolerance,3
breeding lines,3
AICRIP trials,3
Sub1A,3
SNORKEL2,3
base editing,3
Haplotype analysis,3
management,3
farm mechanization,3
Dhenkanal districts,3
Conservation agriculture,3
biotic stresses,3
sheath rot,3
peroxidase,3
superoxide dismutase,3
rice canopies,3
sensitive spectral regions,3
optimal bands,3
rice blast,3
submergence,3
seedling stage,3
starch digestibility,3
amylose content,3
rice grain,3
antioxidant activity,3
oil quality,3
microwave stabilization,3
weather variables,3
seed vigour,3
disease resistance,3
nano urea,3
pest surveillance,3
nutritional security,3
rice cultivation,3
ecosystems,3
nutrient management,3
AC,3
seed production,3
climate resilience,3
Andhra Pradesh,3
biomass accumulation,3
test weight,3
SNORKEL,3
Genetic diversity,3
AICRPR,3
phenotypic variation,3
bacterial blight,3
gall midge,3
higher,3
CR,3
genetic diversity,3
kharif 2024,3
Seed production,3
CR Dhan 604,3
highest grain yield,3
tiller number,3
genome editing,3
salinity,3
AICRIP,3
R,3
SpCas9,3
rice protoplast,3
TnpB,3
brown planthopper,3
biomass,3
agriculture,3
2050,3
2080,3
Union Territories,3
zero tillage,3
wheat,3
KVKs,3
germination pattern,3
texture,3
nematodes,3
otypes,3
GW AS,3
Pakistan,3
China,3
potassium silicate,3
sensitivity analysis,3
mycelial growth,3
rice nurseries,3
disease incidence,3
Foliar application,3
transpiration rate,3
IPM,3
neem oil cake,3
grain production,3
brown spot,3
functional allele,3
seed germination,3
IG 23,3
PUL,3
Amino acids,3
calibration,3
groundwater depletion,3
crop management,3
subsidies,3
economics,3
termites,3
Agriculture,3
Sustainability,2
Resilience,2
Biotic Stress Management,2
Photosynthetic Enhancement,2
Abiotic Stress Tolerance,2
Grain Nutritional Quality,2
Rice Stakeholders,2
CR Dhan 812,2
weedy rice,2
germplasm accessions,2
trait discovery,2
digital database,2
breeder seed,2
patents,2
doubled haploid technologies,2
mechanization,2
rice sector,2
Crop Science,2
registration,2
osmotic dehydration tolerance,2
higher shoot dry weight,2
doubled haploid production,2
targeted breeding,2
yield performance,2
bacterial blight resistance,2
spikelet sterility,2
grain number,2
grain weight,2
bakanae disease resistance,2
plant height,2
SNORKEL1,2
sd1 genes,2
editing efficiency,2
prime editing,2
Gene prospecting,2
alleles,2
ecosystem services,2
environmental sustainability,2
metabolic pathways,2
net returns,2
livestock products,2
feed production,2
recovery efficiency,2
nitrogen savings,2
root colonization,2
ultrasonic sound stimuli,2
rice fields,2
genotype,2
BPH resistance,2
GW AS analysis,2
gall midge resistance,2
IC435159,2
IC324679,2
IC379843,2
polyphenol oxidase,2
genetic variation,2
lignin contents,2
volatile profiles,2
hyperspectral analysis,2
ASD data,2
derivative analysis,2
complete genome,2
Streptomyces caeruleatus S14,2
tRNA genes,2
Seed priming,2
Melatonin,2
rice root knot nematodes,2
developmental duration,2
NBPGR,2
lowland rice genotypes,2
Genotypes,2
saline water flooding,2
flooding tolerance,2
combined stress tolerance,2
salt tolerance,2
catalytic activity,2
chlorophyll content,2
light use efficiency,2
Rice genotypes,2
high resistant starch,2
proteins,2
pigmented rice,2
