keyword,count
climate change,85
China,64
CCS,62
Europe,52
hydrogen,50
bioenergy,45
India,42
electrification,36
fossil fuels,36
renewables,34
International Energy Agency,32
GHG emissions,30
carbon capture,30
United States,30
mitigation options,27
USA,27
biomass,27
CDR,27
medium confidence,26
electricity,24
wind turbines,24
ammonia,24
UK,24
natural gas,23
Africa,23
IRENA,23
energy storage,23
BECCS,22
Asia,21
biofuels,21
hydropower,21
energy system,21
energy systems,20
wind energy,20
Joule,20
renewable energy,19
IEA,19
wind power,18
stranded assets,18
energy sector,18
energy efficiency,18
developing countries,17
PV,17
Energy Procedia,17
Germany,16
electricity sector,16
energy security,15
solar PV,15
North America,15
carbon pricing,15
climate policy,15
investment,14
electrolysis,14
AR6 Scenarios Database,14
Bistline,14
International Renewable Energy Agency,14
UAE,14
batteries,13
industry,13
methane,13
OECD,13
Canada,13
costs,13
wind resources,13
mitigation actions,13
cooking,12
IPCC,12
Paris Agreement,12
Public support,12
electricity generation,12
electric vehicles,11
storage,11
infrastructure,11
Australia,11
nuclear energy,11
climate change mitigation,11
sustainability,11
World Bank,11
Cambridge University Press,10
fossil infrastructure,10
SDGs,10
synthetic fuels,10
methane emissions,10
energy demand,10
energy sources,10
LPG,10
renewable energy sources,10
heating,10
hydrogen production,10
limited overshoot,10
Energy,10
United States of America,9
interquartile range,9
wind,9
EU,9
cost,9
CSP,9
nuclear power,9
subsidies,9
fossil fuel subsidies,9
high confidence,9
biodiversity,9
Middle East,9
solar energy,9
fossil energy,9
energy transition,9
energy conservation,9
PLoS One,9
transmission,8
primary energy,8
Global Energy Monitor,8
Japan,8
South Africa,8
carbon leakage,8
South America,8
LCOE,8
water,8
public acceptance,8
International Atomic Energy Agency,8
investments,8
electricity storage,8
variable renewables,8
hydropower production,8
employment,7
agriculture,7
uncertainty,7
economic growth,7
greenhouse gas emissions,7
TFC,7
air pollution,7
wind farms,7
feedstock,7
geothermal energy,7
geothermal,7
electricity system,7
EVs,7
industrial processes,7
solar power,7
LOHCs,7
DACCS,7
land use,7
CDR options,7
liquid fuels,7
Latin America,7
2050,7
Boxes,7
whiskers,7
negative emissions,7
National Renewable Energy Laboratory,7
Brazil,7
ater,7
IEEE,7
Netherlands,6
energy intensity,6
energy consumption,6
electricity grids,6
alternative fuels,6
economics,6
developed countries,6
coal mining,6
Indonesia,6
efficiency,6
policy mixes,6
climate policies,6
governance,6
grid integration,6
technical potential,6
solar insolation,6
coal,6
storage capacity,6
capacity factors,6
hydropower potential,6
irrigation,6
biochar,6
bioenergy production,6
carbon emissions,6
resilience,6
energy infrastructure,6
energy carriers,6
heat pumps,6
Waste Manag,6
Electric Power Research Institute,6
One Earth,6
Imperial College London,6
Geosci,6
final energy,5
space heating,5
final energy consumption,5
cost reductions,5
emerging economies,5
renewable electricity,5
sustainable development goals,5
health,5
forestry,5
transport,5
end uses,5
energy system mitigation,5
carbon intensity,5
systems,5
climate mitigation,5
energy resources,5
European Union,5
electricity systems,5
economic development,5
rural electrification,5
regulations,5
EU ETS,5
carbon prices,5
integration costs,5
reliability,5
modelling,5
recycling,5
nuclear power plants,5
Fukushima,5
methanol,5
water use,5
biodiesel,5
feedstocks,5
pyrolysis,5
carbon dioxide removal,5
steam methane reforming,5
interconnection,5
grid services,5
gas turbines,5
gas infrastructure,5
social acceptance,5
HVAC,5
solar water heaters,5
sector coupling,5
energy savings,5
water availability,5
resource endowments,5
Public acceptability,5
Pricing,5
Sustainable Development,5
Photovoltaics Res,5
global warming,5
Bioprod,5
Life Cycle Assessment,5
energy system changes,4
global energy system,4
renewable energy systems,4
electricity production,4
food security,4
economic outcomes,4
aviation,4
residential sector,4
energy access,4
Southeast Asia,4
Asian countries,4
SDG 7,4
solid fuels,4
security,4
,4
regulatory instruments,4
political economy,4
investment costs,4
installed costs,4
incentives,4
lifecycle emissions,4
silicon,4
offshore wind farms,4
strategic minerals,4
climate variability,4
temperature,4
Switzerland,4
radioactive waste,4
energy penalty,4
saline aquifers,4
decarbonisation,4
CCS technologies,4
non,4
biogas,4
Liquid biofuels,4
air quality,4
mitigation costs,4
fugitive methane emissions,4
geothermal resources,4
district heating,4
integrated energy systems,4
Energy storage technologies,4
PHS,4
environmental impacts,4
CAES,4
global,4
supercapacitors,4
electrolysers,4
Public perceptions,4
energy carrier,4
transport sector,4
public perception,4
biomass gasification,4
regional integration,4
solar panels,4
HVDC,4
uncertainties,4
resource efficiency,4
residual emissions,4
thermal power plants,4
wildfires,4
overshoot,4
CDR technologies,4
DAC,4
Sovacool,4
sustainable consumption,4
European Commission,4
Policy,4
photovoltaics,4
Climatol,4
Smart Grid,4
°C,3
fossil fuel consumption,3
emissions reductions,3
transportation,3
refineries,3
Eastern Asia,3
GDP,3
population growth,3
primary energy supply,3
TPES,3
energy transitions,3
energy justice,3
renewable sources,3
rural areas,3
United Nations,3
PV cells,3
universal access,3
Coal use,3
PPCA,3
generation,3
solar capacity,3
onshore wind,3
consumer preferences,3
OECD countries,3
France,3
air pollutants,3
scalability,3
concentrating solar power,3
fossil,3
AR5,3
transmission capacity,3
system flexibility,3
electricity market design,3
reservoirs,3
cooling,3
solar fuels,3
CSP plants,3
technical potentials,3
offshore wind,3
LCOEs,3
carbon footprint,3
wildlife,3
offshore wind energy,3
hydropower generation,3
ancillary services,3
hydroelectric energy,3
hydropower projects,3
Norway,3
energy source,3
Sweden,3
precipitation,3
economic activities,3
Finland,3
IAEA,3
geologic storage,3
economic value,3
absorption,3
chemical looping,3
animal fats,3
accounting,3
fossil fuel use,3
CCS technology,3
hydraulic fracturing,3
coal gasification,3
water footprint,3
electricity demand,3
Iceland,3
carbon dioxide,3
peak demand,3
smart control,3
synergies,3
gaseous fuels,3
fuel cells,3
data centres,3
seasonal storage,3
salt caverns,3
compression,3
LAES,3
waste heat,3
PtX,3
wind generation,3
2020,3
synthetic hydrocarbons,3
renewable energy production,3
distribution systems,3
