,file_path,sentence,section,0,0_span,weight_0
267,/content/biofuel_result/PMC11934532/sections/2_body/1_results_and_discussion/4_lipid_accumulation_under_diffe/1_p.xml,"Similarly, blue light also increased the eicosapentaenoic acid content in  N. oceanica   28  and fatty acid (C16:2 and C18:2) content in  Chlorella  sp.",DIS,eicosapentaenoic acid,"(41, 62)",1
337,/content/biofuel_result/PMC11934532/sections/2_body/1_results_and_discussion/6_related_gene_expression_in_pri/1_p.xml,"These were not beneficial for sugar degradation under red light, leading to the reduction of intermediate product levels, such as malic acid, citrate, succinic acid, 2-hydroxyglutaric acid, and fumarate  27 ,  53 .",DIS,succinic acid,"(151, 164)",1
387,/content/biofuel_result/PMC11617215/sections/2_body/5_discussion/3_p.xml,"Historically, Ukraines internal market lacked sufficient demand, leading to a reliance on exports for its ethanol production.",DIS,ethanol,"(107, 114)",1
389,/content/biofuel_result/PMC11617215/sections/2_body/5_discussion/3_p.xml,"As of 2024, the EU has implemented import quotas on Ukrainian ethanol.",DIS,ethanol,"(62, 69)",1
390,/content/biofuel_result/PMC11617215/sections/2_body/5_discussion/3_p.xml,"Despite this, selling ethanol above the quota remains profitable, with duties set at 100 EUR per tonne for a market price of 700 EUR per tonne  52 .",DIS,ethanol,"(22, 29)",1
391,/content/biofuel_result/PMC11617215/sections/2_body/5_discussion/3_p.xml,"The introduction of a blending mandate requirement law, effective from June 2025, is expected to generate predictable internal demand for ethanol, enhancing market stability.",DIS,ethanol,"(138, 145)",1
393,/content/biofuel_result/PMC11617215/sections/2_body/5_discussion/2_p.xml,"The launch of the Vitagro Energy bioethanol plant in 2024, with a capacity of 25 thousand tonnes per year and ISCC certification, marks a significant milestone that allows for ethanol export to European markets.",DIS,ethanol,"(176, 183)",1
396,/content/biofuel_result/PMC11617215/sections/2_body/5_discussion/2_p.xml,"To support this growth, investment in production capacity ranges from 500 to 1,000 USDper tonne of feedstock, necessitating approximately EUR 100 million to achieve the target of 125 thousand tonnes of ethanol in Ukraine.",DIS,ethanol,"(202, 209)",1
1054,/content/biofuel_result/PMC11994937/sections/2_body/2_discussion/6_implications_for_policy/5_education_and_awareness/1_p.xml,"For example, Brazil’s education initiatives on flex-fuel vehicles and ethanol use contributed to widespread public acceptance.",DIS,ethanol,"(70, 77)",1
1055,/content/biofuel_result/PMC11994937/sections/2_body/2_discussion/6_implications_for_policy/5_education_and_awareness/1_p.xml,"In India, awareness efforts as part of the Ethanol Blending Program highlight the importance of ethanol-blended fuels in reducing emissions and increasing energy security.",DIS,ethanol,"(96, 103)",1
1059,/content/biofuel_result/PMC11994937/sections/2_body/2_discussion/6_implications_for_policy/2_subsidies_and_incentives/1_p.xml,"For example, Brazil’s Proálcool program demonstrates how ethanol subsidies help establish bioethanol as a viable fuel alternative.",DIS,ethanol,"(57, 64)",1
1060,/content/biofuel_result/PMC11994937/sections/2_body/2_discussion/6_implications_for_policy/2_subsidies_and_incentives/1_p.xml,"In India, the Ethanol Blending Program incentivizes sugar mills to produce ethanol, helping reduce oil imports and promoting energy self-reliance.",DIS,ethanol,"(75, 82)",1
1068,/content/biofuel_result/PMC11994937/sections/2_body/2_discussion/6_implications_for_policy/8_infrastructure_development_and/1_p.xml,"For example, in Latin America, countries such as Brazil and Argentina have invested heavily in transportation networks and biorefineries to facilitate ethanol and biodiesel production.",DIS,ethanol,"(151, 158)",1
1069,/content/biofuel_result/PMC11994937/sections/2_body/2_discussion/6_implications_for_policy/8_infrastructure_development_and/1_p.xml,"Similarly, India has developed dedicated bioethanol plants and pipelines to expand the ethanol blending program, enabling efficient distribution across regions.",DIS,ethanol,"(87, 94)",1
