,file_path,sentence,section,0,0_span,weight_0
385,/content/biofuel_result/PMC11617215/sections/2_body/5_discussion/7_p.xml,"To ensure the development of the biofuels market in Ukraine, the law on the mandatory blending of biological components needs to be amended to include the blending of biodiesel and other liquids of biological origin.",DIS,Ukraine,"(52, 59)",1
387,/content/biofuel_result/PMC11617215/sections/2_body/5_discussion/3_p.xml,"Historically, Ukraines internal market lacked sufficient demand, leading to a reliance on exports for its ethanol production.",DIS,Ukraine,"(14, 21)",1
388,/content/biofuel_result/PMC11617215/sections/2_body/5_discussion/3_p.xml,"However, protective measures have emerged; in 2023, Poland banned not only the import of alcohol from Ukraine but also its transit  51 .",DIS,"Ukraine, Poland","(102, 109), (52, 58)",2
392,/content/biofuel_result/PMC11617215/sections/2_body/5_discussion/2_p.xml,"The estimated market capacity for bioethanol production in Ukraine is increasingly attainable, bolstered by the current production capacity of 187.5 thousand tonnes and ongoing expansion efforts.",DIS,Ukraine,"(59, 66)",1
395,/content/biofuel_result/PMC11617215/sections/2_body/5_discussion/2_p.xml,"Notably, ""OKKO"", one of Ukraines largest fuel station networks, is constructing a facility with an 85-thousand-tonne capacity.",DIS,Ukraine,"(24, 31)",1
396,/content/biofuel_result/PMC11617215/sections/2_body/5_discussion/2_p.xml,"To support this growth, investment in production capacity ranges from 500 to 1,000 USDper tonne of feedstock, necessitating approximately EUR 100 million to achieve the target of 125 thousand tonnes of ethanol in Ukraine.",DIS,Ukraine,"(213, 220)",1
400,/content/biofuel_result/PMC11617215/sections/2_body/5_discussion/6_p.xml,"Currently, biomethane is regarded as the most promising bioenergy product in Ukraine, necessitating careful strategic planning to balance these competing interests effectively.",DIS,Ukraine,"(77, 84)",1
402,/content/biofuel_result/PMC11617215/sections/2_body/5_discussion/4_p.xml,"In contrast, the current prices for rapeseed and rapeseed oil render rapeseed biodiesel economically unfeasible in Ukraine.",DIS,Ukraine,"(115, 122)",1
403,/content/biofuel_result/PMC11617215/sections/2_body/5_discussion/4_p.xml,"Before the full-scale invasion in 2022, Ukraine enjoyed a surplus of electricity, providing a solid foundation for developing electric mobility across railways and electric vehicles.",DIS,Ukraine,"(40, 47)",1
405,/content/biofuel_result/PMC11617215/sections/2_body/5_discussion/8_p.xml,One major limitation of the study is that it is based on the fuel consumption of pre-war Ukraine.,DIS,Ukraine,"(89, 96)",1
618,/content/biofuel_result/PMC11953318/sections/2_body/2_discussion/2_p.xml,"Although results are generated from municipalities in Western Sweden, the mechanisms, driving the model results, can be applied elsewhere, in both national and international socio-geographical contexts.",DIS,Sweden,"(62, 68)",1
773,/content/biofuel_result/PMC11867391/sections/2_body/3_discussion/10_limitations_and_future_directi/1_p.xml,"The surveyed countries were mostly high income, except for Romania and Turkey, which belong to the upper middle-income group.",DIS,"Turkey, Romania","(71, 77), (59, 66)",2
