keyword,count
Green AI,41
India,35
AI,30
sustainability,28
banking,22
banks,22
Artificial Intelligence,16
banking sector,12
Indian banks,12
artificial intelligence,10
RBI,9
compliance,9
Sustainability Outcomes,9
green AI,8
energy efficiency,8
finance,6
Green AI adoption,6
Indian banking,6
emerging markets,6
SEBI,6
digital transformation,6
GAI Accepted,6
private banks,5
emerging economies,5
bank,5
Banking Infrastructure,5
Regulatory Influence,5
Green AI Adoption,5
Artificial intelligence,5
Financial Investment,4
private sector banks,4
HDFC Bank,4
sustainable AI,4
GAI,4
measurement model,4
convergent validity,4
Sustainability,4
Fintech,4
Perceived Usefulness,3
public sector banks,3
financial inclusion,3
green banking,3
financial institutions,3
ICICI Bank,3
Axis Bank,3
Indian,3
banking institutions,3
financial services,3
fintech,3
innovation,3
ESG,3
Competitive Pressure,3
SEM,3
reliability,3
regulation,3
AI systems,3
Generative AI,3
IGI Global,3
customer service,2
carbon footprint,2
algorithmic trading,2
banking services,2
customer engagement,2
Public sector banks,2
Reserve Bank,2
business models,2
regulatory environments,2
regulatory compliance,2
green AI adoption,2
mediating construct,2
banking operations,2
financial sector,2
banking infrastructure,2
investment,2
Triple Bottom Line,2
legacy infrastructure,2
transparency,2
financial investment,2
Perceived Ease of Use,2
environmental sustainability,2
carbon footprint reduction,2
conceptual model,2
structural model,2
PEOU,2
Financial investment,2
technology adoption,2
Banking infrastructure,2
digital infrastructure,2
Competitive pressure,2
sustainable outcomes,2
sustainability performance,2
TOE model,2
SBI,2
banking professionals,2
Composite Reliability,2
RMSEA,2
method bias,2
discriminant validity,2
energy audits,2
Compliance,2
