keyword,count
Green AI,41
India,35
AI,30
sustainability,28
banking,22
banks,22
Artificial Intelligence,16
banking sector,12
Indian banks,12
artificial intelligence,10
RBI,9
compliance,9
Sustainability Outcomes,9
green AI,8
energy efficiency,8
finance,6
Green AI adoption,6
Indian banking,6
emerging markets,6
SEBI,6
digital transformation,6
GAI Accepted,6
private banks,5
emerging economies,5
bank,5
Banking Infrastructure,5
Regulatory Influence,5
Green AI Adoption,5
Artificial intelligence,5
Financial Investment,4
private sector banks,4
HDFC Bank,4
sustainable AI,4
GAI,4
measurement model,4
convergent validity,4
Sustainability,4
Fintech,4
Perceived Usefulness,3
public sector banks,3
financial inclusion,3
green banking,3
financial institutions,3
ICICI Bank,3
Axis Bank,3
Indian,3
banking institutions,3
financial services,3
fintech,3
innovation,3
ESG,3
Competitive Pressure,3
SEM,3
reliability,3
regulation,3
AI systems,3
Generative AI,3
IGI Global,3
customer service,2
carbon footprint,2
algorithmic trading,2
banking services,2
customer engagement,2
Public sector banks,2
Reserve Bank,2
business models,2
regulatory environments,2
regulatory compliance,2
green AI adoption,2
mediating construct,2
banking operations,2
financial sector,2
banking infrastructure,2
investment,2
Triple Bottom Line,2
legacy infrastructure,2
transparency,2
financial investment,2
Perceived Ease of Use,2
environmental sustainability,2
carbon footprint reduction,2
conceptual model,2
structural model,2
PEOU,2
Financial investment,2
technology adoption,2
Banking infrastructure,2
digital infrastructure,2
Competitive pressure,2
sustainable outcomes,2
sustainability performance,2
TOE model,2
SBI,2
banking professionals,2
Composite Reliability,2
RMSEA,2
method bias,2
discriminant validity,2
energy audits,2
Compliance,2
India,19
China,18
uncertainty,17
LULUCF,17
EU27,15
uncertainty factors,12
United States,12
abatement costs,11
Brazil,11
IMAGE model,11
Indonesia,10
GHG emissions,9
IMAGE,8
residual emissions,7
gas coverage,6
integrated assessment model,6
2050,6
integrated assessment models,5
greenhouse gas,5
Canada,5
Paris Agreement,5
projected emissions,5
Dafnomilis,5
forestry,4
emissions projections,4
time lag,4
MAC curves,4
median estimate,4
GDP,4
global emissions,4
CDR technologies,3
emissions,3
South Africa,3
Turkey,3
GHG,3
non-CO 2emissions,3
carbon price,3
emissions pathways,3
LULUCF emissions,3
uncertainty range,3
Nature Climate Change,3
NewClimate Institute,3
greenhouse gas emissions projections,2
New York Academy of Sciences,2
biomass energy,2
CDR,2
G,2
SSP,2
national documents,2
uncertainties,2
ty,2
GHG emissions pathways,2
emissions pathway,2
GHG coverage,2
USA,2
Mexico,2
60,2
Russian Federation,2
Middle East,2
Japan,2
methane,2
mitigation options,2
UNFCCC,2
climate model,2
infeasible pathways,2
accelerated pathways,2
modeling,2
gigatons,2
socioeconomic baseline variation,2
pathway profile,2
negative emissions,2
land use,2
key uncertainties,2
Oxford Net Zero,2
major emitting countries,2
greenhouse gas emissions,2
IIASA,2
Netherlands Environmental Assessment,1
Environmental Systems Analysis Group,1
Institute,1
zen,1
Universiteit Amsterdam,1
Funding information,1
HORIZON EUROPE,1
Mobility,1
sector coverage,1
climate change mitigation,1
climate policy,1
pathway trajectories,1
Creative Commons Attribution License,1
Wiley Periodicals,1
nomic assumptions,1
carbon capture,1
storage,1
direct air,1
default setting,1
National Determined Contributions,1
Shared Socioeconomic Pathway,1
CDR methods,1
global emissions pathways,1
PBSM,47
AM,19
Polymers,15
Additive Manufacturing,12
Standardization,11
sustainability,8
3D printing,8
smart materials,7
recyclability,7
Process Optimization,7
Carbon Footprint,7
Regulatory Compliance,7
scalability,6
recycling,6
EFA,6
Supply Chain Constraints,6
Material Limitations,6
Market Readiness,6
Energy Consumption,6
Smart Materials,6
standardization,5
manufacturing firms,5
sustainable manufacturing,5
CoCoSo method,5
Scalability Issues,5
LCA Assessment Gaps,5
3D Printing,5
Polymer Composites,4
India,4
Stereolithography,4
injection molding,4
Integration,4
sensitivity analysis,4
financial incentives,4
Combined Compromise Solution,3
manufacturing,3
biodegradability,3
polymers,3
biomedical devices,3
stereolithography,3
3D printing technique,3
thermoplastics,3
extrusion,3
smart polymers,3
PBSM adoption,3
SLR,3
High Cost of Materials,3
CoCoSo,3
Sustainability,3
robustness,3
market readiness,3
University,2
additive manufacturing,2
exploratory factor analysis,2
shape memory,2
functionality,2
environmental impact,2
environmental emissions,2
energy efficiency,2
polymer processing,2
recycling strategies,2
one,2
PLA,2
ABS,2
selective laser sintering,2
polymer materials,2
material efficiency,2
energy consumption,2
waste reduction,2
printability,2
strategic framework,2
CoCoSo technique,2
R,2
manufacturing organizations,2
factor analysis,2
factor loadings,2
Average Loading Communalities,2
weighted comparability sequence,2
publication growth rate,2
eigenvalues,2
ISO,2
Indian SMEs,2
economic feasibility,2
regulatory frameworks,2
high material costs,2
SMEs,2
Circular Economy,2
Additive Manufacturing Techniques,2
Polymer Materials,2
Smart Material,2
Sustainable Practices,2
MDPI,2
Dupont,1
Strategic Framework,1
License,1
DP,1
open access article,1
Production Engineering,1
Ambedkar National Institute of Technology,1
Parul Institute of Technology,1
Ozntk,18
Ozntkz,5
IV51,4
ozskzmon,4
ozskzmtzr,4
lotz,2
z,1
qoonlkmv,1
Ozm1,1
IV5166,1
IkIV 61,1
lkmv,1
kmtntm,1
LV,1
ozro,1
mkz,1
Ozntk1,1
km1m,1
IkV,1
Iwokz,1
Iwty1,1
India,39
CO2 emissions,22
Indian cities,18
vehicle count,16
time series,9
EDGARv8,9
pollutant emissions,8
floating car data,8
machine learning model,7
vehicle counts,7
EDGAR,6
road segment,6
Time series,6
speed,6
temporal patterns,6
fuel consumption,5
nitrogen oxides,5
particulate matter,5
nitrous oxide,5
machine learning,5
Jaipur,5
CAMSv5,5
RRMSE,5
urban air pollution,4
GPS,4
CAMS,4
vehicle density,4
congestion pricing,4
Copernicus Atmosphere Monitoring Service,4
carbon monoxide,4
black carbon,4
vehicles,4
LightGBM,4
PPAC,4
Mumbai,4
TomTom,4
CAMSv5 datasets,4
emission factors,4
fuel consumption data,3
COPERT model,3
IEA,3
trucks,3
mobility data,3
road type,3
machine learning models,3
standardized datasets,3
prediction model,3
vehicle speed,3
major roads,3
local roads,3
FCD,3
Bengaluru,3
Hyderabad,3
data scaling process,3
predicted temporal values,3
correction factor,3
COPERT,3
emission estimates,3
volatile organic compounds,3
netCDF files,3
Emissions Database,3
Global Atmospheric Research,3
EDGARv5,3
correlation,3
confidence intervals,3
road traffic,3
temporal correlation,3
European Commission,3
Road transport,2
urbanization,2
data quality,2
greenhouse gas emissions,2
traffic flow,2
gridlocks,2
air quality,2
congestion relief zones,2
vehicular emissions,2
datasets,2
proxies,2
EDGAR data,2
methane,2
ammonia,2
lead,2
COPERT17 model,2
emission hotspots,2
Nexqt18,2
smaller,2
vehicle fleets,2
unaccounted vehicles,2
performance metrics,2
Chandigarh,2
predictive power analysis,2
spatial information,2
highways,2
arterials,2
primary roads,2
minor roads,2
road type 5,2
city streets,2
temporal,2
India,70
