keyword,count
climate change,404
Asia,335
China,241
India,175
South Asia,107
Bangladesh,90
Climate Change,81
Philippines,69
Southeast Asia,68
Central Asia,60
Japan,59
Nepal,59
agriculture,54
Climate change,52
Indonesia,49
medium confidence,48
East Asia,46
food security,46
adaptation,46
Vietnam,43
Pakistan,41
climate change adaptation,38
Iran,37
Thailand,35
global warming,32
precipitation,30
North Asia,29
sustainable development,29
West Asia,27
SLR,26
Russia,26
CCA,26
floods,24
developing countries,23
biodiversity,23
coral reefs,23
drought,23
ecosystem services,23
adaptive capacity,22
women,21
Republic of Korea,21
resilience,20
Disaster Risk Reduction,20
Cambridge University Press,19
Asian countries,19
migration,18
Taiwan,18
Malaysia,18
water resources,17
farmers,17
fisheries,16
flooding,16
Asian cities,16
Korea,16
World Bank,16
Public Health,16
extreme events,15
dust storms,15
governance,15
extreme weather events,15
Indigenous knowledge,15
Sri Lanka,15
ocean acidification,14
Myanmar,14
droughts,14
coastal cities,14
Agriculture,14
land use,14
irrigation,14
water scarcity,14
IPCC,14
Africa,14
adaptation costs,14
insurance,14
IKLK,14
Climate Change Adaptation,14
heatwaves,13
urban adaptation,13
poverty,13
urban areas,13
tropical cyclones,13
heat stress,13
mortality,13
agricultural production,13
Intergovernmental Panel on Climate Change,12
ecosystems,12
Tibetan Plateau,12
human health,12
cyclones,12
disaster risk reduction,12
urbanisation,12
Disaster Risk Reduct,12
Climatol,12
food production,11
aquaculture,11
Cambodia,11
modelling,11
permafrost,11
South China Sea,11
HKH region,11
children,11
Islam,11
climate adaptation,11
PLoS ONE,11
Water Resour,11
population growth,10
sea level rise,10
risk perception,10
vulnerability,10
adaptation measures,10
citizen science,10
climate variability,10
gender,10
United Nations,10
adaptation planning,10
Singapore,10
adaptation options,10
climate action,10
social protection,10
Sustainable Development,10
seagrass meadows,9
Mongolia,9
remote sensing,9
population,9
water security,9
Paris Agreement,9
Tajikistan,9
climate warming,9
SDGs,9
water stress,9
GHG emissions,9
disaster risk management,9
Working Group I,9
Ecosyst,9
Climate change adaptation,9
Sixth Assessment Report,8
water supply,8
socioeconomic changes,8
western,8
capacity building,8
malaria,8
medium agreement,8
Afghanistan,8
natural hazards,8
disasters,8
agriculture sector,8
uncertainty,8
Persian Gulf,8
sustainability,8
infrastructure,8
Food Security,8
preparedness,8
disaster management,8
UNESCAP,8
BDP 2100,8
South Korea,8
Land Use Policy,8
climate change scenarios,8
invasive species,7
crop production,7
livestock production,7
agricultural productivity,7
Sustainable Development Goals,7
AR5,7
Biodiversity,7
western North Pacific,7
urban agglomerations,7
Women,7
ASEAN,7
Climate,7
temperature,7
global climate change,7
flood risk,7
South Asian countries,7
Saudi Arabia,7
climate resilience,7
GDP,7
ambient temperature,7
climate justice,7
energy demand,6
coastal ecosystems,6
food systems,6
Hindu Kush Himalaya,6
HMA,6
North Pacific,6
high confidence,6
Republic,6
UNICEF,6
energy efficiency,6
investment,6
protected areas,6
landslides,6
Central Siberia,6
Kazakhstan,6
deforestation,6
Himalayan region,6
Oman,6
Indian Ocean,6
mangroves,6
Uzbekistan,6
vulnerability assessment,6
food insecurity,6
land subsidence,6
water conservation,6
climate risk,6
rice,6
rainfall,6
Ho Chi Minh City,6
urban agriculture,6
adaptation strategy,6
DRR,6
smallholder farmers,6
adverse selection,6
SP programmes,6
social justice,6
natural disasters,6
urbanization,6
heat waves,6
Oceanogr,6
Hindu Kush Himalaya Assessment,6
Vulnerability,5
Working Group II,5
climate,5
Himalaya,5
climatic variability,5
rice production,5
informal settlements,5
mangrove restoration,5
finance,5
vulnerable populations,5
tourism,5
freshwater resources,5
economic growth,5
uncertainties,5
livestock,5
habitat loss,5
coastal protection,5
urban population,5
rural areas,5
rural households,5
Syria,5
Lebanon,5
renewable energy,5
wind speed,5
developing Asia,5
conflict,5
medium evidence,5
Kyrgyzstan,5
education,5
Asia Pacific region,5
boreal forest,5
Russian Far East,5
forest fires,5
productivity,5
Korean Peninsula,5
pine wilt disease,5
human activities,5
adaptive capacities,5
coastal communities,5
groundwater,5
water availability,5
Mekong Delta,5
water,5
economic development,5
adaptation strategies,5
water resource management,5
drought risk,5
Early warning systems,5
permeability,5
climatic risks,5
Disaster management,5
Mortality,5
Chinese cities,5
forest governance,5
knowledge gaps,5
South Africa,5
Asian Development Bank,5
Maldives,5
Twitter,5
crop insurance,5
outheast Asia,5
adaptation finance,5
Social protection,5
CRDPs,5
terrestrial ecosystems,5
Resilience,5
Northeast Asia,5
Sustainability,5
global greenhouse gas emission pathways,5
Urban Plan,5
Gender,5
Sea Level Rise,5
Biodivers,5
permafrost thawing,4
drought stress,4
lightning,4
spatial distribution,4
mountain treeline,4
IPCC AR5,4
typhoons,4
urban,4
early warning systems,4
adaptation interventions,4
mental disorders,4
seagrass beds,4
public health,4
local knowledge,4
storm surge,4
Heatwaves,4
Inner Mongolia,4
Ocean acidification,4
coastal regions,4
climate risks,4
storm surges,4
OECD,4
renewables,4
energy security,4
adaptation actions,4
IDMC,4
remittances,4
climate changes,4
mountain tundra,4
Jeju Island,4
climatic range,4
West Siberia,4
Ilmen Nature Reserve,4
endemic species,4
South Siberia,4
Tianshan Mountains,4
Siberian larch,4
RCP scenarios,4
boreal forests,4
dust events,4
thermal stress,4
Ocean Health index,4
Eastern Asia,4
river systems,4
Brahmaputra river basins,4
Indus,4
Xinjiang,4
hydrological regime,4
streamflow,4
permafrost degradation,4
flood events,4
river basins,4
Mekong River basin,4
groundwater resources,4
management,4
Asian agriculture,4
crop yields,4
climate extremes,4
shrimp farming,4
farming,4
invasive alien species,4
Odisha,4
civil conflict,4
water management,4
environmental sustainability,4
climate mitigation,4
urban poverty,4
Manila,4
coastal flooding,4
Guangzhou,4
Jakarta,4
Bhutan,4
Mumbai,4
social media,4
World Health Organization,4
Dhaka,4
Knowledge Gaps,4
social vulnerability,4
urban planning,4
EWS,4
conservation,4
least developed countries,4
climate impacts,4
Coastal flooding,4
moral hazard,4
index insurance,4
Climate Resilient Development Pathways,4
climate risk management,4
Metro Manila,4
urban climate resilience,4
Migration,4
Integrated Mountain Development,4
IPCC Special Report,4
coastal wetlands,4
Water,4
IOP Conf,4
2030 Agenda,4
Human Security,4
Russian Federation,3
glacier melting,3
tree growth,3
human activity,3
representative concentration pathways,3
drought conditions,3
Asian glaciers,3
southern Tibetan Plateau,3
glacier lakes,3
runoff,3
golden apple snail,3
Southern Asia,3
urban dwellers,3
infrastructural adaptation,3
flood protection measures,3
power infrastructure,3
air pollutants,3
food availability,3
sociocultural norms,3
individual adaptation,3
Asian regions,3
residual damages,3
risk awareness,3
CRD,3
learning,3
Asian region,3
Fifth Assessment Report,3
Himalayas,3
Mangroves,3
salt marshes,3
saltwater intrusion,3
security,3
livelihoods,3
Floods,3
Siberia,3
waves,3
Sea level rise,3
annual precipitation,3
pH,3
monsoon regions,3
CIDs,3
Arabian Peninsula,3
hydropower,3
deserts,3
socioeconomic development,3
mangrove forests,3
cycl,3
humanity,3
natural gas,3
USA,3
Middle East,3
North Africa,3
Jordan,3
Extreme weather events,3
financing,3
climate vulnerability,3
United Arab Emirates,3
institutional capacity,3
rapid urbanisation,3
environmental change,3
R,3
Pacific,3
risk reduction,3
internal migration,3
age,3
social capital,3
social norms,3
Yakutia,3
polar bears,3
local extinction,3
mammals,3
development,3
fire frequency,3
increased,3
population density,3
phenology,3
bioclimatic zones,3
larch forests,3
wildfires,3
southwest coastal Bangladesh,3
pathogens,3
climatic gradients,3
United Nations Climate Change Secretariat,3
hydrological processes,3
coral growth,3
anthropogenic activities,3
coral communities,3
corals,3
fishing,3
coral reef ecosystems,3
Sundarbans,3
mangrove deforestation,3
acidification,3
economic,3
Yellow Sea,3
recovery,3
Marine heatwaves,3
average,3
Water stress,3
HKH,3
glacier melt,3
Brahmaputra basins,3
water crisis,3
Brahmaputra,3
permafrost thaw,3
glacial lakes,3
pesticides,3
local communities,3
precipitation extremes,3
