keyword,count
climate change,100
climate crisis,72
creative commons,67
Plato,63
Climate Academy,53
students,48
India,46
democracy,45
capitalism,40
Academy,32
Rousseau,28
UK,26
Anthropocene,26
history,25
carbon budget,25
Socrates,25
Piraeus,23
CUTx,22
planetary boundaries,21
greenhouse gases,21
tipping points,20
UN,19
BBC,19
UNFCCC,18
Civil Rights Movement,16
education,16
schools,15
innovation,15
human civilisation,14
Pakistan,14
Kafka,14
sustainability,13
human history,13
USA,13
recycling,12
Philosophy,12
Germany,12
France,12
United Nations,11
children,11
biodiversity,11
famine,11
Britain,11
Rosa Parks,11
climate anxiety,11
Athenians,11
Academia,11
Geometry,11
psychology,10
greenhouse gas emissions,10
humans,10
culture,10
fossil fuel industry,10
Bangladesh,10
democracies,10
grammar,10
Mahler,10
Athens,10
Paris Agreement,9
Industrial Revolution,9
music,9
fossil fuels,9
Tennis Court Oath,9
East India Company,9
science,9
young people,9
Tipping Points,8
Climate Anxiety,8
History,8
China,8
Capitalism,8
systemic change,8
Tennis Court,8
climate system,8
truth,8
God,8
Spaceship Earth,7
Chemistry,7
Holocene,7
The Climate Academy,7
human population,7
human condition,7
society,7
economic growth,7
cornflakes,7
human rights,7
Robespierre,7
media coverage,7
Galileo,7
Emmett Till,7
anxiety,7
Mass Extinction Events,6
human civilization,6
beliefs,6
climate,6
global warming,6
civilization,6
Enlightenment,6
politics,6
closed mass system,6
circular economy,6
solar panels,6
freedom,6
Social Contract,6
GDP,6
ozone layer,6
belief,6
human psychology,6
resonance,6
guilt,6
justice,6
Geography,5
Sweden,5
News Decoder,5
Biology,5
extreme weather events,5
natural world,5
climate science,5
plastic waste,5
Keeling Curve,5
resource extraction,5
human development,5
biodiversity loss,5
Thermodynamics,5
agriculture,5
global economy,5
emissions,5
modelling,5
existential threat,5
French Revolution,5
America,5
public space,5
social media,5
democratic rule,5
misinformation,5
Switzerland,5
British rule,5
racism,5
rigidity trap,5
tipping point,5
Boreal forests,5
reality,5
paradigm,5
Uranus,5
leadership,5
virtues,5
Tennyson,5
grief,5
irony,5
civic engagement,5
Sparta,5
Spartans,5
Cephalus,5
bees,5
Paradigm Shifts,4
Ethics,4
mainstream science,4
status quo,4
Climate change,4
Art,4
natural disasters,4
dinosaurs,4
extinction event,4
photosynthesis,4
cats,4
natural resources,4
geological time,4
economic activity,4
Montreal Protocol,4
homo sapiens,4
astronauts,4
YouTube,4
existential crisis,4
International Resource Panel,4
internet,4
Global Warming,4
negative emissions,4
energy transition,4
carbon footprint,4
COP meetings,4
ancien regime,4
Europe,4
Democracy,4
Guernica,4
inequality,4
populism,4
imagination,4
CO2 emissions,4
teachers,4
United States,4
Economics,4
crisis,4
drought,4
British Raj,4
famines,4
Late Victorian Holocausts,4
United Kingdom,4
colonialism,4
UHD nations,4
government,4
transparency,4
CUTx  Index,4
IPCC,4
Australia,4
plastics,4
climate education,4
individual actions,4
Alaska,4
Jet Stream,4
DNA,4
Newton,4
Newtonian Physics,4
Bible,4
Deep South,4
common,4
NAACP,4
Trojan Horse,4
Motion Blindness,4
Republicans,4
problem solving,4
Instagram,4
poetry,4
hot air balloon,4
Wikipedia,4
creativity,4
Civic Engagement,4
western culture,4
bureaucracy,4
The Castle,4
prisoners,4
Metaphysics,4
golden ratio,4
Room,3
human activity,3
polar bears,3
floods,3
hyperpyrexia,3
polar regions,3
climate scientists,3
problem framing,3
critical thinking,3
Victorian England,3
humility,3
human society,3
average global temperature,3
climate activism,3
ecological systems,3
reasoning,3
methane,3
human beings,3
biosphere,3
population,3
cyanobacteria,3
life,3
biomass,3
CO2 emissions,3
nuclear fusion,3
Antarctica,3
Belgium,3
Closed Mass System,3
population growth,3
supernova,3
mobile phone,3
equality,3
nationalism,3
beauty,3
carbon capture,3
public opinion,3
climate action,3
Brazil,3
Buddhists,3
climate justice,3
legislation,3
noble gases,3
democratic space,3
cultural memory,3
anthropogenic interference,3
football,3
courage,3
World War One,3
Ancient Greeks,3
disinformation,3
economy,3
life expectancy,3
external costs,3
Capitalocene,3
genocide,3
paradox,3
Great Famine,3
Bengal Famine,3
Indian economy,3
electric cars,3
Egypt,3
peloton,3
ExxonMobil,3
European Commission,3
Luxembourg,3
infrastructure,3
social reality,3
COP,3
complex systems,3
planetary systems,3
climate modelling,3
NASA,3
anatomy,3
Aristotle,3
Kuhn,3
paradigms,3
