keyword,count,
climate change,652,
biodiversity,172,
Global Change Biology,119,
ecosystem services,86,
National Academy of Sciences,86,
medium confidence,85,
tree mortality,76,
drought,75,
ecosystems,57,
protected areas,56,
South Africa,55,
Europe,55,
anthropogenic climate change,53,
North America,52,
Africa,52,
wildfire,50,
precipitation,48,
Australia,44,
Canada,41,
deforestation,40,
Indonesia,40,
AR5,35,
adaptation,35,
climate warming,34,
Cambridge University Press,33,
extreme events,33,
United States of America,33,
birds,32,
wildfires,32,
peatlands,32,
IPCC,32,
freshwater ecosystems,31,
Amazon,31,
South America,30,
fire,29,
EbA,29,Review
burned area,28,
climate change adaptation,27,
China,27,
savannas,26,
tropical forests,26,
Total Environment,26,
Asia,25,
land use,25,
GHG emissions,25,
mammals,22,
global warming,22,
invasive species,21,
human health,21,
climate change mitigation,21,
LULCC,21,Review
heat waves,21,
Alaska,21,
Intergovernmental Panel on Climate Change,20,Review
grasslands,20,
USA,20,
conservation,20,
resilience,19,
carbon storage,19,
temperature,19,
Brazil,19,
rivers,18,
boreal forests,18,
amphibians,18,
modelling,18,
permafrost thaw,17,
malaria,17,
Southeast Asia,17,
terrestrial ecosystems,17,
Forest Ecology and Management,17,Review
water quality,16,
food security,16,
droughts,16,
agriculture,16,
lakes,15,
tundra,15,
uncertainty,15,
Nepal,14,
fish,14,
fire suppression,14,
permafrost,14,
hydrology,14,
natural systems,14,
evapotranspiration,14,
extinction risk,14,
range shifts,14,
fire frequency,14,
ecosystem integrity,13,
refugia,13,
biodiversity conservation,13,
land degradation,13,
insects,13,
humans,13,
Working Group II,12,
species,12,
agricultural expansion,12,
Arctic permafrost,12,
Amazon rainforest,12,
ecosystem functioning,12,
freshwater systems,12,
organisms,12,
fires,12,
thermal tolerance,12,
California,12,
Chile,12,
Thailand,12,
Neglected Tropical Diseases,12,review
Applied Ecology,12,review
Conservation Biology,12,review
western USA,11,
vegetation,11,
invertebrates,11,
floods,11,
climate change impacts,11,
natural ecosystems,11,
desertification,11,
species composition,11,
rainfall,11,
Northern Hemisphere,11,
Distributions,11,REVIEW
infectious diseases,11,
livestock,11,
carbon emissions,11,
Diversity,11,Review
The,11,
Freshwater Biology,11,review
Environmental Management,11,review
Remote Sensing,11,review
Working Group I,11,
India,10,
climate,10,
aridity,10,
Arctic,10,
adaptation measures,10,
plasticity,10,
biomes,10,
attribution,10,
medium agreement,10,annotation
streams,10,
climate extremes,10,
mortality,10,
species richness,10,
wild animals,10,
flooding,10,
Arctic tundra,10,
carbon sink,10,
CO2 emissions,10,
East Africa,10,
sustainable development,10,
wetlands,10,
urban areas,10,
South Asia,10,
global change,10,
UK,9,
primary productivity,9,
confidence,9,
evolution,9,
woody encroachment,9,
insect outbreaks,9,
biodiversity loss,9,
southern Africa,9,
boreal forest,9,
soil erosion,9,
connectivity,9,
fire risk,9,
water supply,9,
ecosystem function,9,
IPBES,9,
LUC,9,Review
urbanisation,9,
primary production,9,
butterflies,9,
dengue,9,
Spain,9,
tropical peatlands,9,
fire regimes,9,
Mexico,9,
Anthropocene,9,
Restoration Ecology,9,review
United States,9,
Management,9,Review
ecology,9,
Parasitology,9,
PLoS ONE,9,
Sixth Assessment Report,8,
freshwater species,8,
vectors,8,
population extinctions,8,
carbon sequestration,8,
local communities,8,
wild species,8,
phytoplankton,8,
water temperature,8,
animals,8,
temperate regions,8,
Finland,8,
reindeer,8,
disease incidence,8,
tropical ecosystems,8,
livestock grazing,8,
CO2 fertilisation,8,
Peru,8,
fire activity,8,
temperate forests,8,
extreme weather events,8,
vegetation cover,8,
fire weather,8,
Mediterranean Europe,8,
restoration,8,
SDMs,8,
Geophysical Research,8,
Biological,8,
Climate Change 2021,8,
phenology,7,
biome shifts,7,
woody vegetation,7,
tourism,7,
recreation,7,
Indigenous Peoples,7,
sustainable development goals,7,
animal species,7,
eutrophication,7,
albedo,7,
dispersal,7,
habitat fragmentation,7,
maximum temperatures,7,
river systems,7,
bark beetles,7,
body size,7,
disease risk,7,
timber harvesting,7,
woody cover,7,
Amazonia,7,
western North America,7,
woody plant encroachment,7,
water security,7,
Durban,7,
tree planting,7,
EcoHealth,7,
Microbiology,7,
Forest Ecology,7,
Global Ecology,7,
Landscape Ecology,7,
Assessment Report,7,
Biological Conservation,7,
sustainable land management,7,
greenhouse gas fluxes,7,
taxonomic groups,6,
exotic species,6,
chytrid fungus,6,
endemic species,6,
regional climate change,6,
water supplies,6,
carbon dynamics,6,
salamanders,6,
climate models,6,
insect pest outbreaks,6,
vegetation changes,6,
functional diversity,6,
ecosystem structure,6,
savanna,6,
temperate peatlands,6,
land cover change,6,
UNEP,6,
nutrient cycling,6,
carbon stocks,6,
SLR,6,review
Tibetan Plateau,6,
runoff,6,
water storage,6,
freshwater biodiversity,6,
erosion control,6,
breeding success,6,
heat tolerance,6,
Great Barrier Reef,6,
cyanobacteria,6,
food webs,6,
fisheries,6,
dragonflies,6,
Germany,6,
abundances,6,
genetic diversity,6,
global,6,
mosquitoes,6,
wildlife,6,
evolutionary responses,6,
climate adaptation,6,
reptiles,6,
health,6,
fauna,6,
tree species,6,
land area,6,
carbon cycle,6,
permafrost degradation,6,
global burned area,6,
ENSO,6,
African Sahel,6,
vulnerability,6,
carbon uptake,6,
West Africa,6,
methane emissions,6,
carbon fluxes,6,
Climate factors,6,
natural environment,6,
flood risk,6,
water resources,6,
cholera,6,
ecosystem restoration,6,
Natural England,6,
national park,6,
AFAC,6,
Earth System Science Data,6,
Biogeosciences,6,
Arid Environments,6,
Climatic Change,6,
Ecohydrology,6,
American Meteorological Society,6,
changing climate,6,
vulnerable species,5,
ticks,5,
grazing,5,
western,5,
food provisioning,5,
GSAT,5,
adaptation strategies,5,
recovery,5,
ecosystem processes,5,
human activities,5,
United Nations,5,
Millennium Ecosystem Assessment,5,
water purification,5,
species range shifts,5,
species extinctions,5,
soil moisture,5,
glacier retreat,5,
northern Europe,5,
arid regions,5,
algal blooms,5,
climate changes,5,
top predators,5,
water availability,5,
compound events,5,
climate change attribution,5,
water temperatures,5,
high confidence,5,
local extinction,5,
Tropics,5,
IUCN Red List,5,
medium evidence,5,
ectotherms,5,
human populations,5,
snails,5,
human infectious diseases,5,
local adaptation,5,
corridors,5,
water,5,
grassland,5,
nitrogen deposition,5,
northern peatlands,5,
drainage,5,
El Niño,5,
carbon loss,5,
Browning,5,
dissolved organic matter,5,
southwestern USA,5,
Brazilian Amazon,5,
fossil fuels,5,
tropical rainforests,5,
carbon source,5,
Malaysia,5,
photosynthesis,5,
England,5,
observations,5,
extinction,5,
projected climate change,5,
carbon cycling,5,
permafrost peatlands,5,
global climate,5,
global protected area,5,
Tasmania,5,
vegetation dynamics,5,
forest fires,5,
fire management,5,
IUCN,5,
natural habitats,5,
limited evidence,5,
African penguins,5,
income benefits,5,
East Asia,5,
Tasmanian Wilderness World Heritage Area,5,
sustainable management,5,
Joshua Tree National Park,5,
ecological restoration,5,
peatland restoration,5,
Integrated landscape management,5,
bioenergy,5,
Kenya,5,
Hydrological Processes,5,
Sierra Nevada,5,
Geospat Health,5,
tropical Andes,5,
Global Biogeochemical Cycles,5,
global climate change,5,
Sectoral,5,
Limnology,5,
Nature,5,
Veterinary Parasitology,5,
Sustainability,5,
Earth System Dynamics,5,
mass mortality events,4,
climate regulation,4,
boreal ecosystems,4,
carbon balance,4,
carbon,4,
ecosystem service,4,
attribution studies,4,
pollinators,4,
alpine grassland,4,
scientific literature,4,
change,4,
ecosystem health,4,
autonomous adaptation,4,
disease,4,
disease transmission,4,
climate hazards,4,
global water cycle,4,
Mediterranean,4,
medium,4,
emissions scenario,4,
temperatures,4,
eastern Australia,4,
high temperatures,4,
Siberia,4,
pest infestations,4,
habitat loss,4,
Central Asia,4,
warm range limits,4,
tropical regions,4,
small ponds,4,
Bd,4,
individual species,4,
community structure,4,
phytoplankton biomass,4,
novel communities,4,
spring events,4,
ology,4,
moths,4,
Switzerland,4,
spring phenology,4,
threatened species,4,
woody plants,4,
fecundity,4,
drought stress,4,
food availability,4,
disease outbreaks,4,
parasites,4,
human diseases,4,
Americas,4,
human use,4,
endangered species,4,
natural,4,
chikungunya,4,
pathogens,4,
Zika,4,
natural disturbances,4,
tree lines,4,
shrub encroachment,4,
biomass,4,
land conversion,4,
fire season,4,
peatland,4,
vegetation productivity,4,
carbon sinks,4,
fire occurrence,4,
reforestation,4,
peat swamp forests,4,
shrublands,4,
insect pests,4,
North Africa,4,
Mediterranean Basin,4,
Tropical deforestation,4,
Congo,4,
ESMs,4,
adaptive capacity,4,
climate projections,4,
taxa,4,
species extinction,4,
trophic levels,4,
rainfall seasonality,4,
MTEs,4,
mitigation,4,
grassy ecosystems,4,
African savannas,4,
Central America,4,
mangroves,4,
climate change effects,4,
livelihoods,4,
Southeast Asian peatlands,4,
Indonesian peatlands,4,
land cover,4,
tundra vegetation,4,
plant functional types,4,
Madagascar,4,
invasive grasses,4,
reservoirs,4,
inland waters,4,
afforestation,4,
seasonality,4,
risk,4,
Risk transitions,4,
moderate risk,4,
microclimate,4,
fire regime,4,
protected sites,4,
UNFCCC,4,
storm surges,4,
saltmarshes,4,
water provisioning,4,
One Health,4,
zoonotic diseases,4,
ecosystem change,4,
coastal area,4,
aquatic systems,4,
poverty,4,
CRD,4,
species diversity,4,
mitigation benefits,4,
forests,4,
IP,4,
Ecological Engineering,4,
Amazonian forests,4,
Functional Ecology,4,
Nature Geoscience,4,
Animal Ecology,4,
Wildland Fire,4,
global tree restoration potential,4,
Pastoralism,4,
forest management,4,
global carbon cycle,4,
Earth System Sciences,4,
Public Health,4,
tropical peat swamp forests,4,
agroforestry,4,
Agroforestry systems,4,
Oceanography,4,
Ecological Indicators,4,
Fifth Assessment Report,4,
thermal regime,3,
Extreme heat waves,3,
genetic evolution,3,
northward shifts,3,
atmospheric CO2,3,
ecological integrity,3,
air pollution,3,
pollination,3,
land,3,
flowering plants,3,
shifts,3,
poleward shifts,3,
montane forests,3,
land use change,3,
species distributions,3,
carbon capture,3,
mitigation measures,3,
Convention on Biological Diversity,3,
climate resilient development,3,
geographic ranges,3,
irrigation,3,
CBD,3,
human societies,3,
biological response,3,
biological change,3,
predation,3,
AR6,3,
future risks,3,
climate variability,3,
distribution shifts,3,
heat stress,3,
river water temperatures,3,
dissolved oxygen,3,
mean,3,
river connectivity,3,
river ice,3,
Spatial distribution,3,
urban development,3,
solar radiation,3,
salinity,3,
European lakes,3,
hydrological regimes,3,
groundwater,3,
natural resources,3,
MHW,3,
ecological effects,3,
geographic distributions,3,
flying foxes,3,
LULCCs,3,
regional climate trends,3,
Scots pine,3,
France,3,
freshwater invertebrates,3,
mean annual temperature,3,
temperature variability,3,
specialist species,3,
non,3,
BC melomys,3,
climate events,3,
latitude,3,
climate debt,3,
energy flux,3,
zooplankton,3,
Tropical lakes,3,
thermophilic species,3,
high,3,
wild plants,3,
autumn phenology,3,
Phenological trends,3,
ecological processes,3,
vertebrates,3,
mean temperatures,3,
population,3,
low confidence,3,
environmental changes,3,
nutrient availability,3,
climate variables,3,
thermoregulation,3,
beetles,3,
population declines,3,
fungi,3,
antibiotic resistance,3,
temporal patterns,3,
evolutionary potential,3,
pandemics,3,
Drosophila subobscura,3,
thermal performance,3,
environmental change,3,
polar bears,3,
assisted colonisation,3,
hedgerows,3,
hunting,3,
diseases,3,
human mobility,3,
infectious disease,3,
d,3,
nutrition,3,
EIDs,3,
boreal conifer forest,3,
herbivory,3,
Ecuador,3,
climatic factors,3,
overgrazing,3,
habitat degradation,3,
arid shrublands,3,
arid grasslands,3,
land management,3,
mesic savannas,3,
Sahel,3,
Andes,3,
Himalayas,3,
Lianas,3,
water stress,3,
grass,3,
Scotland,3,
soil organic carbon,3,
peatland carbon,3,
peat subsidence,3,
thaw,3,
nitrous oxide emissions,3,
freshwaters,3,
carbon dioxide,3,
relative humidity,3,
population density,3,
GMST increases,3,
global terrestrial area,3,
human population density,3,
Northwest Territories,3,
lightning,3,
tree regeneration,3,
tropical dry forests,3,
insect infestations,3,
forest area,3,
Sweden,3,
human settlements,3,
ecosystem carbon,3,
increased atmospheric CO2,3,
national parks,3,
statistical models,3,
phenotypic plasticity,3,
Risk Assessment,3,
IUCN Red List criteria,3,
hydrologic connectivity,3,
southern Europe,3,
model projections,3,
CMIP5,3,
global biodiversity loss,3,
carnivores,3,
arboviruses,3,
benchmarking,3,
2,3,
vegetation structure,3,
novel ecosystems,3,
s,3,
vegetation shifts,3,
native forests,3,
fire probability,3,
Tropical forest,3,
moist tropical forests,3,
drought conditions,3,
Sri Lanka,3,
global temperature,3,
extensive forest dieback,3,
water yield,3,
peat,3,
Feedbacks,3,
CH4 emissions,3,
impoundments,3,
shallow lakes,3,
dry inland waters,3,
drinking water,3,
surface waters,3,
springs,3,
freshwater fisheries,3,
commercial fisheries,3,
ecological consequences,3,
riparian vegetation,3,
ation,3,
ecosystem carbon losses,3,
forest degradation,3,
nature conservation,3,
watercourses,3,
people,3,
Paris Agreement,3,
evolutionary changes,3,
conservation planning,3,
adaptation actions,3,
stepping stones,3,
high agreement,3,
degraded tropical peatlands,3,
extreme climatic events,3,
conservation policy,3,
pilot studies,3,
trees,3,
coastal habitats,3,
water conservation,3,
pest control,3,
EPA Network,3,
IKLK,3,
schistosomiasis,3,
endemicity,3,
disease control,3,
drivers,3,
Direction of Change,3,
warmer temperatures,3,
Latin America,3,
Climate Change Adaptation Manual,3,
assisted migration,3,
Namibia,3,
African penguin,3,
Birdlife International,3,
Joshua tree,3,
Joshua trees,3,
Bhopal,3,
societal benefits,3,
restoration projects,3,
Acacia nilotica,3,
Baluran National Park,3,
ecosystem resilience,3,
natural environments,3,
climate change risks,3,
natural forests,3,
boreal peatlands,3,
human adaptation,3,
cover crops,3,
Livestock mobility,3,
structural diversity,3,
climate change resilience,3,
aesthetics,3,
heat mitigation,3,
temperate peatland,3,
rainfall patterns,3,
greenhouse gas emissions,3,
soil respiration,3,
Rangeland Ecology,3,
Agroecology,3,
Palaeogeography,3,
Palaeoclimatology,3,
Palaeoecology,3,
Qu,3,
ary,3,
carbon dioxide emissions,3,
Mediterranean ecosystems,3,
Ecological Modelling,3,
Forest Science,3,
Western United States,3,
Global Environmental Change,3,
PLoS Neglected Tropical Diseases,3,
Biogeography,3,
Circumpolar Health,3,
Environmental Pollution,3,
fasciolosis,3,
dilution effect,3,
amphibian declines,3,
plant science,3,
northern lakes,3,
Aquatic Conservation,3,
Insect Conservation,3,
Royal Society of London,3,
Regional Environmental Change,3,
sea level rise,3,
Hydrological Sciences,3,
CO2 fertilization,3,
forest ecosystems,3,
Water Resources Research,3,
Amazon forests,3,
Linnean Society,3,
PLoS Biology,3,
IPCC Special Report,3,
global greenhouse gas emission pathways,3,
global terrestrial net primary production,3,
terrestrial water storage,3,
Bangladesh,3,
ES,3,
Climate Dynamics,3,
dengue epidemics,3,
range expansion,3,
Springer International Publishing,3,
