keyword,count
CO2 emissions,88
climate change,83
TCRE,70
ocean acidification,67
AR5,67
medium confidence,66
National Academy of Sciences,64
global warming,58
Global Biogeochemical Cycles,51
Southern Ocean,48
CMIP6,47
Global Change Biology,46
carbon budget,45
carbon budgets,44
CMIP5,44
uncertainty,41
CDR,39
data sources,39
cumulative CO2 emissions,36
SRM,30
carbon cycle,28
permafrost thaw,28
Earth system models,27
human activities,26
ESMs,24
photosynthesis,24
Earth system feedbacks,24
GSAT,23
acidification,23
United Kingdom,22
anthropogenic CO2 emissions,21
uncertainties,21
CH4 emissions,21
feedbacks,21
biodiversity,21
ocean interior,21
Earth System Science Data,21
modelling,20
transient climate response,19
N2O emissions,19
methane,18
airborne fraction,18
interannual variability,18
permafrost,18
nitrous oxide,17
anthropogenic emissions,17
cumulative emissions,17
IPCC,17
ocean sink,16
CH4,16
anthropogenic CO2,16
carbon budget estimates,16
radiative forcing,16
atmospheric inversions,16
Geoscientific Model Development,16
United States of America,15
ocean,15
land use,15
ocean carbon uptake,15
CMIP6 ESMs,14
global carbon cycle,14
afforestation,14
Earth System Dynamics,14
Bio,14
China,13
CO2,13
land carbon storage,13
tropics,13
carbon sequestration,13
carbon storage,13
ZEC,13
biochar,13
Royal Society,13
Ocean Acidification,12
CMIP6 models,12
low confidence,12
global,12
ocean circulation,12
Last Glacial Maximum,12
Holocene,12
DGVMs,12
temperature,12
methane emissions,12
Biochar,12
biogeochemical cycles,11
agriculture,11
surface ocean,11
CDR methods,11
greenhouse gases,11
LDT,11
denitrification,11
Paleoceanography,11
Australia,10
Intergovernmental Panel on Climate Change,10
land management,10
land carbon sink,10
ocean carbon sinks,10
confidence,10
wetlands,10
carbon uptake,10
PETM,10
vegetation,10
ensemble mean,10
ocean warming,10
Arctic Ocean,10
respiration,10
SSTs,10
Deep Sea Research,10
Oceanography,10
GHGs,9
industrial era,9
Climate Change,9
soil carbon,9
carbon sinks,9
climate system,9
CO2 fertilization effect,9
2,9
ocean carbon sink,9
CMIP5 models,9
tropical forests,9
permafrost carbon,9
Alaska,9
cumulative carbon emissions,9
Geophysical Research,9
Cambridge University Press,8
CO2 concentrations,8
terrestrial ecosystems,8
fossil fuels,8
Climate change,8
buffering capacity,8
CO2 sinks,8
zero emissions commitment,8
climate change mitigation,8
negative emissions,8
Methane emissions,8
precipitation,8
carbon stocks,8
SROCC,8
BECCS,8
permafrost region,8
observational constraints,8
ecosystems,8
eutrophication,8
CO2 fertilization,8
Earth system,8
AR6,8
Global Warming,8
carbon dioxide,8
Biogeochemistry,8
Total Environment,8
nitrous oxide emissions,8
Topical Studies,8
Biogeochemical Cycles,7
Working Group I,7
biomass burning,7
wetland emissions,7
manure,7
marine organisms,7
North Atlantic,7
high latitudes,7
emissions,7
wildfires,7
North Pacific,7
LULUCF flux,7
carbon fluxes,7
temporal variability,7
nitrogen deposition,7
soil moisture,7
evapotranspiration,7
nitrogen cycle,7
coastal ocean,7
OMZs,7
biogeochemistry,7
primary production,7
Earth System Models,7
land carbon uptake,7
productivity,7
Arctic,7
permafrost carbon feedbacks,7
B,7
blended global mean SAT,7
carbon cycle response,7
intermediate complexity,7
sustainable development,7
Climate Dynamics,7
solar radiation modification,6
ventilation,6
carbon sink,6
soil respiration,6
biogeochemical feedbacks,6
Paris Agreement,6
carbonate chemistry,6
ocean biogeochemistry,6
fluxes,6
terrestrial carbon cycle,6
upwelling,6
forestry,6
fossil CO2 emissions,6
cement production,6
soils,6
GOBMs,6
inversions,6
drought,6
carbon capture,6
landfills,6
coal mining,6
4,6
observations,6
inland waters,6
Russia,6
nitrification,6
Atlantic Ocean,6
nutrient availability,6
Baltic Sea,6
elevated CO2,6
peatlands,6
climate warming,6
temperature response,6
last,6
climate sensitivity,6
ocean heat uptake,6
pathway independence,6
IPCC Special Report,6
geoengineering,6
reforestation,6
terrestrial carbon sink,6
global change,6
Anthropocene,6
global greenhouse gas emission pathways,6
atmospheric methane,6
Brazil,5
deforestation,5
land sinks,5
anthropogenic activities,5
oceanic N2O emissions,5
water cycle,5
ocean CO2 sink,5
land sink,5
carbon release,5
CO2 release,5
non-CO2 emissions,5
CO,5
carbon cycle processes,5
food production,5
climate stabilization,5
meridional overturning circulation,5
negative feedbacks,5
negative feedback,5
net primary production,5
ocean ventilation,5
anthrop,5
growth rates,5
