keyword,count
SROCC,182
Geophysical Research Letters,182
medium confidence,179
GMSL,99
AR5,92
Antarctica,85
Greenland,79
Southern Ocean,75
Greenland Ice Sheet,69
AMOC,56
sea level rise,51
uncertainty,48
CMIP6 models,45
Climate Dynamics,40
ISMIP6,39
climate models,37
ice sheets,37
CMIP5 models,37
Ge,37
National Academy of Sciences,36
Antarctic Ice Sheet,34
climate change,34
data sources,32
MICI,31
internal variability,30
OHC,30
North Atlantic,29
glaciers,28
AIS,27
United Kingdom,26
Ocean Modelling,26
Holocene,25
Glaciology,25
Arctic,24
Atlantic Meridional Overturning Circulation,24
mass loss,24
Earth Surface,24
Geoscientific Model Development,24
low confidence,23
ocean warming,23
Physical Oceanography,23
high confidence,22
observations,22
Gulf Stream,22
SMB,22
Arctic Ocean,21
MISI,21
GMSL change,19
Northern Hemisphere,19
Greenland ice sheet,19
ESL,19
Nature,19
United States of America,18
anthropogenic forcing,18
permafrost,17
modelling,17
ocean circulation,16
Permafrost,16
East Antarctica,16
Arctic sea ice,16
sea ice cover,16
Iceland,16
WAIS,16
Coupled Model Intercomparison Project,15
surface mass balance,15
Last Glacial Maximum,14
global mean sea level,14
Nature Climate Change,14
confidence,14
peak warming,13
SROCC assessment,13
sea level change,13
sea level projections,13
radiative forcing,13
temperature,13
marine ice cliff instability,12
greenhouse gas emissions,12
Ross Sea,12
GMTSL,12
GSAT,12
global mean temperature,12
sea ice loss,12
sea level contribution,12
Amundsen Sea Embayment,12
European Alps,12
North America,12
Nature Geoscience,12
global surface air temperature,12
tide gauges,11
GMSL rise,11
limited evidence,11
RSL change,11
satellite observations,11
Weddell Sea,11
Nordic Seas,11
salinity,11
deep convection,11
Labrador Sea,11
ISMIP6 emulator,11
GMSL projections,11
Remote Sensing,11
surface melt,11
medium agreement,10
projections,10
MHWs,10
decadal variability,10
glacier mass loss,10
Working Group I,10
Intergovernmental Panel on Climate Change,9
Cambridge University Press,9
ocean heat content,9
marine heatwaves,9
anthropogenic warming,9
glacier mass,9
snow,9
sea level budget,9
GlacierMIP,9
global average,9
low agreement,9
overturning,9
peripheral glaciers,9
ocean forcing,9
deep uncertainty,9
GMST,9
Pine Island Glacier,9
Thwaites Glacier,9
Antarctic ice shelves,9
High Mountain Asia,9
ocean surface,9
ice shelves,8
Indonesian Throughflow,8
Arctic sea ice area,8
extreme sea levels,8
West Antarctic Ice Sheet,8
sea level contributions,8
tides,8
overlay,8
North Atlantic Ocean,8
SST,8
OHC change,8
North Pacific,8
subpolar gyre,8
Antarctic Peninsula,8
time series,8
sea ice coverage,8
calving,8
climate forcing,8
grounding line retreat,8
SEJ,8
West Antarctica,8
IPCC,8
storm surge,8
Fifth Assessment Report,8
Marine Science,8
American Meteorological Society,8
Australia,8
Canada,7
cryosphere,7
water masses,7
interannual variability,7
marine ice sheet instability,7
snowfall,7
thermal expansion,7
storm surges,7
high model agreement,7
Diagonal lines,7
low model agreement,7
CMIP6 ensemble,7
atmospheric forcing,7
precipitation,7
stratification,7
Southern Hemisphere,7
climate model simulations,7
deglaciation,7
subpolar North Atlantic,7
internal climate variability,7
sensitivity,7
SAMW,7
ACC,7
sea ice area,7
Antarctic sea ice thickness,7
GRACE,7
outlet glaciers,7
melt rates,7
ice discharge,7
emissions scenario,7
LIG,7
Alaska,7
last,7
tide gauge reconstructions,7
Last Interglacial,7
ESWL,7
Earth System Dynamics,7
Periglacial Processes,7
equilibrium climate sensitivity,6
heat content,6
deep ocean,6
SSP,6
process understanding,6
subtropical gyres,6
land ice,6
global mean sea level rise,6
vertical land motion,6
regional sea level change,6
Antarctic,6
observational record,6
Wilkes Subglacial Basin,6
HighResMIP,6
ocean temperature,6
South America,6
climate sensitivity,6
Southern Ocean warming,6
CMIP3,6
surface fluxes,6
AABW,6
CDW,6
WBCs,6
Agulhas leakage,6
Arctic sea ice loss,6
satellite period,6
IMBIE Team,6
West Greenland,6
bedrock topography,6
Greenland SMB,6
glacier retreat,6
historical dynamic response,6
basal melt rates,6
EAIS,6
coupled climate models,6
Southern Andes,6
parametric fit,6
snow cover,6
permafrost extent,6
Eurasia,6
Little Ice Age,6
Earth System Science Data,6
Marine heatwaves,6
proxies,5
wind stress,5
CMIP6 simulations,5
global,5
Antarctic mass loss,5
global temperature,5
permafrost volume,5
Circumpolar Deep Water,5
RGI Consortium,5
ocean stratification,5
ocean density,5
thermosteric sea level change,5
Time series,5
equatorial Pacific,5
greenhouse gas forcing,5
westerly winds,5
greenhouse gases,5
satellite era,5
coupled models,5
sea surface temperature,5
Antarctic Bottom Water,5
redistributed heat,5
ocean heat transport,5
OHT,5
ocean models,5
thermosteric sea level rise,5
mean ocean temperature,5
Pacific Ocean,5
human influence,5
regional climate models,5
Lower NADW,5
CMIP models,5
EBUS,5
sea level commitment,5
ocean dynamic sea level change,5
ice thickness,5
spatial distribution,5
Southern Annular Mode,5
Amundsen Sea,5
mass change,5
sea level equivalent,5
tidewater glaciers,5
submarine melting,5
ice mélange,5
dynamic response,5
Representative Concentration Pathway,5
Representative Concentration Pathways,5
ISMIP6 projections,5
regional climate model,5
GlacierMIP projections,5
structured expert judgement,5
Andes,5
Russian Arctic,5
Norway,5
polar regions,5
global sea level,5
permafrost thaw,5
Europe,5
snow depth,5
Thermal expansion,5
tide gauge observations,5
GIA,5
VLM,5
subsidence,5
RSL projections,5
Environmental,5
Ocean Dynamics,5
Continental Shelf Research,5
Remote Sensing of Environment,5
Geophysics,5
Qu,5
Natural Hazards,5
CMIP5 Models,5
Last,5
Brazil,5
ocean,4
Indian Ocean,4
western boundary currents,4
spatial patterns,4
heat redistribution,4
tropical ocean,4
surface waters,4
AMOC decline,4
ice shelf melt,4
SSP scenarios,4
Global mean sea level,4
ice,4
ocean dynamics,4
extreme still water levels,4
dynamic losses,4
spring snow cover extent,4
Northern Hemisphere snow cover extent,4
Sea Level Rise,4
Global Warming,4
High Resolution Model Intercomparison Project,4
response time,4
groundwater extraction,4
terrestrial mass loss,4
spatial variability,4
Glacial isostatic adjustment,4
GRD,4
SST change,4
SST changes,4
regional,4
regional trends,4
emissions scenarios,4
CMIP6 climate models,4
CMIP6 projections,4
ocean temperature change,4
North Atlantic Deep Water,4
OHC patterns,4
thermosteric sea level,4
subsurface ocean,4
hydrological cycle,4
STMW,4
AAIW,4
water,4
North Atlantic Oscillation,4
AMOC variability,4
NADW formation,4
model bias,4
Overturning,4
Irminger Sea,4
lower cell,4
winds,4
external forcing,4
in situ observations,4
resolution,4
forcing,4
wind forcing,4
low,4
tropics,4
climate,4
gyres,4
poleward shift,4
wind intensification,4
poleward migration,4
expansion efficiency coefficient,4
GSAT change,4
Arctic Sea Ice,4
sea ice concentration,4
Svalbard,4
Arctic sea ice drift,4
sea ice thickness,4
Arctic sea ice thickness,4
tropical Pacific,4
climate variability,4
IMBIE,4
mass changes,4
mass balance,4
Ice Sheet Model Intercomparison Project,4
mass,4
ice dynamics,4
ISMIP6 simulations,4
SSPs,4
ice loss,4
AR5 parametric fit,4
thermal forcing,4
general circulation models,4
coastal regions,4
satellite altimetry,4
dynamic thinning,4
basal melting,4
SMB changes,4
GCMs,4
orbital forcing,4
Climate Models,4
SWE trends,4
tide gauge data,4
LWS contribution,4
regional sea level,4
Marine Isotope Stage 11,4
interglacial period,4
global mean thermosteric sea level rise,4
ESL events,4
ESLs,4
Geophysical Journal International,4
Global Change Biology,4
cience,4
coastal upwelling,4
Hydrology,4
Earth System Sciences,4
Paleoceanography,4
Subpolar North Atlantic,4
Community Earth System Model,4
Ross Ice Shelf,4
Antarctic Sea Ice Extent,4
Holocene glacier fluctuations,4
Interannual Variability,4
Royal Society,4
Tides,4
Arktos,4
Total Environment,4
Cryosphere,4
Netherlands,3
Argentina,3
India,3
uncertainty ranges,3
surface warming,3
global ocean,3
upper ocean,3
eastern boundary upwelling systems,3
California Current system,3
surface winds,3
regional patterns,3
limited process understanding,3
West Antarctic outlet glaciers,3
snow accumulation,3
East Antarctic Ice Sheet,3
instabilities,3
permafrost temperature,3
West Antarctic ice sheets,3
Glacial Isostatic Adjustment,3
Coupled Model Intercomparison Project Phase 6,3
ocean resolution,3
local,3
iceberg calving,3
climate variations,3
snowpack,3
groundwater,3
Vertical land motion,3
glacial isostatic adjustment,3
volcanic eruptions,3
waves,3
wave setup,3
SST biases,3
Walker circulation,3
subpolar Southern Ocean,3
upwelling,3
regional biases,3
parametrizations,3
ocean area,3
heat uptake,3
spatial pattern,3
,3
