keyword,count
SLCFs,162
climate change,91
methane,85
air quality,85
AR5,79
aerosols,75
Europe,74
China,69
ozone,67
GSAT,57
Geophysical Research Letters,57
North America,53
CMIP6,53
medium confidence,45
radiative forcing,42
SLCF emissions,42
ERF,42
Eastern Asia,37
surface ozone,36
tropospheric ozone,32
Asia,31
HFCs,30
Africa,29
climate change mitigation,28
Southern Asia,28
India,28
agriculture,26
uncertainty,26
Ge,26
data sources,24
air pollution control,23
Atmospheric Chemistry,23
CMIP6 models,23
National Academy of Sciences,23
NMVOCs,22
SSPs,22
SLCF,21
methane emissions,21
CMIP5,21
human health,20
waste management,19
global models,19
sulphate aerosols,19
UNEP,19
chemistry,18
black carbon,18
climate,18
Kigali Amendment,18
CCMs,18
Geoscientific Model Development,18
air pollutants,17
climate system,17
BVOC emissions,17
USA,17
precipitation,16
Northern Hemisphere,16
Middle East,16
anthropogenic emissions,16
air pollution,16
United Kingdom,15
ESMs,15
modelling,15
methane lifetime,15
temperature,14
atmospheric chemistry,13
carbonaceous aerosols,13
climate response,13
United States of America,12
SSP,12
BVOCs,12
aviation,12
SSP scenarios,12
United States,12
high confidence,11
temperature response,11
industry,11
Latin America,11
Air Quality,11
uncertainties,11
ACCMIP,11
South East Asia,11
AerChemMIP,11
SDGs,11
emissions,10
GSAT response,10
Montreal Protocol,10
surface temperature,10
ammonia,10
nitrate aerosols,10
land use,10
satellite observations,10
BC,10
Air quality,10
Climate Change,10
methane mitigation,10
particulate matter,9
carbon monoxide,9
carbon cycle,9
open biomass burning,9
atmospheric composition,9
greenhouse gases,9
stratospheric ozone,9
Climate Model Intercomparison Project,9
chemical composition,9
observations,9
tropospheric ozone burden,9
Southern Hemisphere,9
spatial patterns,9
LLGHGs,9
Total Environment,9
Cambridge University Press,8
low confidence,8
biogeochemical feedbacks,8
DMS,8
Arctic,8
ERFs,8
Nature Climate Change,8
Geophysical,8
Earth System Science Data,8
Working Group I,7
Intergovernmental Panel on Climate Change,7
aerosol ERF,7
SSP3,7
organic aerosols,7
climate feedback,7
ecosystems,7
Community Emissions Data System,7
spatial distribution,7
Earth system models,7
isoprene,7
biomass burning,7
tropospheric OH,7
CMIP6 ESMs,7
Time evolution,7
Satellite Observations,7
clouds,7
WMO,7
East Asia,7
Atmospheric Measurement Techniques,7
hydrofluorocarbons,6
thermal inertia,6
cooling effect,6
ozone precursors,6
WHO,6
Sustainable Development Goals,6
deposition,6
anthropogenic activities,6
human activities,6
CEDS,6
economic growth,6
South America,6
climate models,6
nitric acid,6
nitrogen deposition,6
Aerosols,6
AOD,6
stratosphere,6
water vapour,6
variability threshold,6
impulse response function,6
meteorology,6
climate policy,6
shipping,6
HFC emissions,6
global warming,6
Anthropocene,6
Nature,6
IPCC,6
Global Change Biology,6
Australia,5
Canada,5
halogenated compounds,5
atmospheric abundances,5
aerosol changes,5
effective radiative forcing,5
global surface air temperature,5
Representative Concentration Pathways,5
fossil fuel use,5
anthropogenic aerosols,5
Paris Agreement,5
World Health Organization,5
sulphate,5
lightning,5
climate effects,5
radiative effects,5
feedbacks,5
SLCF mitigation,5
IPCC Special Report,5
CMIP5 models,5
solar radiation,5
ocean acidification,5
biomass burning emissions,5
emissions factors,5
chemical mechanisms,5
global,5
observational constraints,5
ozone precursor emissions,5
CMIP6 ensemble,5
ammonium nitrate,5
ammonia emissions,5
optical properties,5
wildfires,5
AeroCom,5
confidence,5
natural emissions,5
feedback parameter,5
climate sensitivity,5
fossil fuels,5
United Nations Environment Programme,5
Climate Response,5
urbanization,5
carbon dioxide,5
Fifth Assessment Report,5
B,5
Earth System Dynamics,5
geoengineering,5
Kenya,5
mineral dust,4
nitrogen oxides,4
sulphur dioxide,4
chemical adjustments,4
medium agreement,4
ozone production,4
terrestrial vegetation,4
biogeochemical cycles,4
global surface ozone,4
S,4
land transportation,4
residential sector,4
global air pollution,4
air pollution controls,4
net ERF,4
LCFs,4
vegetation,4
temporal evolution,4
HCFCs,4
Particulate Matter,4
natural systems,4
emissions sources,4
CMIP6 emissions,4
SLCF species,4
international shipping,4
Japan,4
CO emissions,4
emissions inventories,4
BC emissions,4
emissions estimates,4
Earth system,4
CMIP6 model ensemble,4
monoterpenes,4
dust emissions,4
sea salt,4
wind speed,4
sulphur,4
eutrophication,4
burned area,4
chemical compounds,4
global CCMs,4
AR,4
CTMs,4
Tropospheric Ozone,4
