keyword,count
climate change,359
medium confidence,236
ocean acidification,191
biodiversity,72
coastal ecosystems,68
acidification,62
coral reefs,57
fisheries,56
Oceanogr,55
Climate change,54
ecosystem services,54
marine ecosystems,53
IPCC,53
SLR,52
ocean warming,50
MHWs,50
PLoS ONE,48
sea level rise,45
high confidence,40
ecosystems,40
organisms,40
Ocean acidification,38
adaptation,35
mangroves,34
hypoxia,33
Climate Change,31
marine species,30
SROCC,30
marine protected areas,29
salt marshes,28
WGI AR6,28
fish,27
Indigenous Peoples,27
phytoplankton,27
kelp forests,26
aquaculture,26
extreme events,26
marine heatwaves,25
tourism,25
Cambridge University Press,24
Springer International Publishing,24
corals,23
governance,22
marine organisms,22
Southern Ocean,22
primary production,22
Geosci,22
coastal protection,21
United Nations,21
stratification,20
CMIP6,20
Arctic,20
algal blooms,20
Fisheries,20
temperature,19
Estuaries Coasts,19
Marine heatwaves,18
marine biodiversity,18
low confidence,18
coastal communities,18
conservation,18
coastal adaptation,18
calcification,18
coastal wetlands,18
Australia,17
Arctic Ocean,17
marine life,17
limited evidence,17
estuaries,17
global ocean,17
Great Barrier Reef,17
marine mammals,17
Mediterranean Sea,17
invertebrates,16
North Atlantic,16
range shifts,16
carbon storage,16
Coral Reefs,16
mariculture,15
Biogeochem,15
sandy beaches,14
human activities,14
eutrophication,14
high,14
multiple drivers,14
thermal tolerance,14
global warming,14
species richness,14
USA,14
zooplankton,14
climate change adaptation,14
food webs,13
resilience,13
adaptive capacity,13
fishing,13
Biogeogr,13
Working Group I,13
Intergovernmental Panel on,13
Change,13
Ecosyst,13
Deep Sea Res,13
coastal ecosystem services,12
SDGs,12
AR5,12
North Pacific,12
mortality,12
seabirds,12
North Sea,12
food security,12
marine heatwave,12
Biodiversity,12
China,12
Sixth Assessment Report,11
seagrass meadows,11
environmental change,11
climate adaptation,11
deltas,11
ocean ecosystems,11
Sustainable Development Goals,11
tropics,11
CMIP5,11
invasive species,11
polar regions,11
salinity,11
global climate change,11
phenology,11
mammals,11
Aquaculture,11
Mexico,10
Working Group II,10
climate warming,10
habitat loss,10
seagrasses,10
overfishing,10
coastal erosion,10
marine systems,10
Marine protected areas,10
SDG14,10
ecosystem structure,10
ecosystem function,10
surface ocean,10
EBUS,10
growth,10
coralline algae,10
Ocean warming,10
coral bleaching,10
bleaching,10
blue carbon ecosystems,10
Vulnerability,9
human communities,9
community composition,9
wave energy,9
cultural ecosystem services,9
coastal development,9
community structure,9
multiple stressors,9
GMSL,9
climate variability,9
phenotypic plasticity,9
primary producers,9
seaweeds,9
fishing pressure,9
modelling,9
carbon sequestration,9
Mediterranean,9
Baltic Sea,9
local communities,9
women,9
ation,9
MPAs,9
Adaptation,9
Anthropocene,9
coastal systems,8
marine food webs,8
anthropogenic climate change,8
human health,8
global,8
restoration,8
photosynthesis,8
water quality,8
paleorecords,8
biomass,8
evolutionary adaptation,8
climate impacts,8
oxygen loss,8
primary productivity,8
CMIP5 models,8
kelp ecosystems,8
metabolic rates,8
biogeography,8
OMZs,8
phenological shifts,8
erosion,8
global change,8
kelp,8
wetlands,8
humans,8
persistent organic pollutants,8
ecosystem shifts,8
fisheries management,8
Canada,8
marine conservation,8
Climate change impacts,8
Mitigation Options,8
Indigenous knowledge,7
local knowledge,7
fish stocks,7
bioaccumulation,7
Paris Agreement,7
adaptation options,7
epipelagic zone,7
climate mitigation,7
ecosystem functions,7
species composition,7
marine ecosystem services,7
ocean governance,7
confidence,7
upwelling,7
low agreement,7
surface waters,7
migration,7
nutrient availability,7
sea ice,7
heat stress,7
marine ectotherms,7
genetic diversity,7
medium agreement,7
trophic mismatches,7
carbon export,7
global sea surface warming,7
macroalgae,7
assisted evolution,7
mussels,7
landward migration,7
adaptation strategies,7
Coastal ecosystems,7
storm surges,7
coastal waters,7
Red Sea,7
uncertainty,7
polar oceans,7
climate services,7
IKLK,7
ecotourism,7
Ecosystem Collapse,7
Microbiol,7
United States,7
Intergovernmental Panel on Climate Change,6
marine fish,6
species,6
sediment dynamics,6
coastal environments,6
deep ocean,6
marine animals,6
evolution,6
pathogens,6
drivers,6
plasticity,6
ocean,6
climate velocity,6
CMIP6 models,6
Earth system models,6
ocean deoxygenation,6
organism,6
animals,6
food availability,6
hypoxia tolerance,6
coastal areas,6
coastal zones,6
fitness,6
microbes,6
time series,6
trophic amplification,6
mass coral bleaching,6
SR15,6
wave attenuation,6
coastal flooding,6
R,6
fish communities,6
Black Sea,6
ecosystem functioning,6
shipping,6
East China Sea,6
shelf seas,6
monitoring,6
phytoplankton blooms,6
North America,6
spatial distribution,6
marine aquaculture,6
whales,6
birds,6
total animal biomass,6
regime shifts,6
climate,6
vulnerabilities,6
methylmercury,6
seagrass,6
Alaska,6
Indonesia,6
climate change impacts,6
Bangladesh,6
sustainable development goals,6
South Africa,5
distribution,5
rocky shores,5
nutrient enrichment,5
non,5
mangrove forests,5
flooding,5
phytoplankton biomass,5
phytoplankton growth period,5
Northern Hemisphere,5
range expansions,5
Sea level rise,5
cultural heritage,5
effectiveness,5
education,5
CIDs,5
Confidence,5
ecosystem models,5
marine adaptation,5
paleorecord,5
geological past,5
ecological responses,5
manipulation experiments,5
warming,5
ification,5
Shared Socioeconomic Pathways,5
extreme sea levels,5
upper ocean,5
seafloor,5
uncertainties,5
Ocean currents,5
ocean basins,5
internal variability,5
ocean currents,5
carbonate chemistry,5
ocean circulation,5
cyanobacteria,5
regional variations,5
Acidification,5
physiology,5
evolutionary responses,5
acclimation,5
phytoplankton species,5
species range shifts,5
IPCC assessments,5
storms,5
thermal stress,5
mass mortality,5
Kelp forests,5
productivity,5
lagoons,5
infrastructure,5
high latitudes,5
seasonality,5
Mangroves,5
vegetated dunes,5
Southeast Asia,5
turtles,5
Persian Gulf,5
phytoplankton production,5
Yellow Sea,5
adaptive management,5
upwelling systems,5
deep,5
Antarctic,5
marine ecosystem,5
shellfish,5
marine birds,5
ecosystem resilience,5
phytoplankton phenology,5
tipping points,5
natural variability,5
phytoplankton community structure,5
MPA,5
interannual variability,5
Tipping points,5
Ecosystem Services,5
non-indigenous species,5
climate risks,5
Chile,5
Florida,5
marine spatial planning,5
Medium confidence,5
Convention on Biological Diversity,5
blue carbon,5
blue economy,5
Sustainable Development,5
Sustainable Ocean Economy,5
Blue Carbon,5
Climate Change Mitigation,5
Biodivers,5
IUCN,5
Fiji,5
Plankton,5
Regional Aspects,5
Intergovernmental Panel of Climate Change,5
herbivory,5
coastal organisms,4
biodiversity loss,4
habitat degradation,4
marine pollution,4
dead zones,4
economic losses,4
ecosystem collapse,4
reef growth,4
animal biomass,4
public education,4
Habitat restoration,4
deep seafloor,4
heatwaves,4
anthropogenic activities,4
society,4
vulnerability,4
AMOC,4
Coupled Model Intercomparison Project 6,4
sea surface temperature,4
Error bars,4
Ocean deoxygenation,4
subsurface ocean,4
oxygen content,4
biological carbon pump,4
ESMs,4
polar seas,4
physiological responses,4
environmental drivers,4
nutrient supply,4
reproduction,4
physiological performance,4
pH,4
cumulative effects,4
microbial respiration,4
interactive effects,4
benthic invertebrates,4
diatoms,4
coccolithophore,4
natural populations,4
local adaptation,4
environmental stress,4
functional groups,4
tropical cyclones,4
Coral reefs,4
larval dispersal,4
diversity,4
active restoration,4
reef shading,4
sponges,4
habitat provision,4
mass mortality events,4
human stressors,4
range contraction,4
Poleward expansion,4
recreation,4
harmful,4
salinisation,4
poleward range shifts,4
projected SLR,4
seagrass beds,4
wetland ecosystems,4
vegetated coastal ecosystems,4
RSLR,4
seagrass ecosystems,4
OMZ,4
s,4
