keyword,count
rice,453
rice genotypes,338
rice varieties,193
grain yield,138
farmers,64
rice production,59
rice germplasm,56
productivity,53
sustainability,50
profitability,47
leaf folder,42
genetic diversity,41
false smut,41
submergence tolerance,39
drought,39
genes,36
pesticides,35
abiotic stresses,34
isolates,34
germplasm,32
hybrids,31
rice cultivation,30
salinity,29
brown spot,28
rice yield,28
yield,28
melatonin,28
nutritional security,26
rice straw,26
nrri varieties,26
agriculture,25
climate change,25
aicrip,25
plant height,25
biotic stresses,25
resilience,25
stem borer,24
grain quality,24
cms,24
crri,24
national rice research institute,22
ssr markers,22
bph,22
imidacloprid,22
alleles,21
qtls,21
climate resilience,21
panicle length,21
rice productivity,21
landraces,21
antioxidant activity,21
trichoderma,21
rice grain,20
sheath blight,19
submergence,19
kvk,19
specialty rice,19
rainfall,19
seed production,19
susceptible genotypes,18
protein content,18
resistant genotypes,18
yield potential,18
root length,18
salinity tolerance,18
rice crop,17
stress tolerance,17
multiple stress tolerance,17
wild rice,16
genome editing,16
conservation agriculture,16
bacterial blight,16
parboiling,16
drought tolerance,16
sheath rot,16
swarna,16
ncpc,16
breeding lines,15
rice area,15
parasitoids,15
mechanical weed control,15
genetic improvement,15
neck blast,15
photosynthetic efficiency,15
premium seed varieties,15
phytotoxicity,15
insect pests,14
leaf blast,14
rice farming,14
msp,14
tiller number,14
seed treatment,14
rice accessions,14
yellow stem borer,14
assam,14
herbicide mixtures,13
ecosystem services,13
rice research,13
sheath blight disease,13
salinity stress,13
students,13
biotic stress management,13
multiple abiotic stress tolerance,13
rice based cropping system,13
amylose content,13
virens,13
water productivity,13
biochar,12
starch digestibility,12
catalase,12
nematodes,12
nutritional quality,12
rice based production system,12
pooja,12
photosynthetic rate,11
nitrogen use efficiency,11
glycemic index,11
capacity building,11
coarctata,11
fungicides,11
wheat,11
economic value,11
biocontrol agents,11
spikelet sterility,11
national average,11
germination,11
anaerobic germination,11
yield attributes,10
bakanae disease,10
training,10
amf,10
rice ecosystems,10
institute research council,10
seed vigour index,10
rice ecologies,10
potassium silicate,10
eastern india,10
transpiration rate,10
multiple abiotic stresses,10
heat stress,10
resistant starch,10
value addition,10
food security,10
ig 23,10
photosynthetic enhancement,10
rice consumption,10
institute management committee,10
highest grain yield,10
aicrip trials,10
grain production,10
central rice research institute,10
carbendazim,10
rice germplasm accessions,10
