keyword,count,Category
rice,453,Crop & Plant
rice genotypes,338,Crop & Plant
rice varieties,193,Crop & Plant
grain yield,138,Yield & Productivity
farmers,64,Miscellaneous
rice production,59,Crop & Plant
rice germplasm,56,Crop & Plant
productivity,53,Yield & Productivity
sustainability,50,Climate & Environment
profitability,47,Economics & Policy
leaf folder,42,Morphological Traits
genetic diversity,41,Genetics & Genomics
false smut,41,Diseases
submergence tolerance,39,Abiotic Stress
drought,39,Abiotic Stress
genes,36,Genetics & Genomics
pesticides,35,Insect Pests
abiotic stresses,34,Abiotic Stress
isolates,34,Miscellaneous
germplasm,32,Germplasm & Genetic Resources
hybrids,31,Varieties & Cultivars
rice cultivation,30,Crop & Plant
salinity,29,Abiotic Stress
brown spot,28,Diseases
rice yield,28,Crop & Plant
yield,28,Yield & Productivity
melatonin,28,Miscellaneous
nutritional security,26,Grain Quality & Nutrition
rice straw,26,Crop & Plant
nrri varieties,26,Varieties & Cultivars
agriculture,25,Miscellaneous
climate change,25,Climate & Environment
aicrip,25,Institutions
plant height,25,Crop & Plant
biotic stresses,25,Abiotic Stress
resilience,25,Miscellaneous
stem borer,24,Insect Pests
grain quality,24,Grain Quality & Nutrition
cms,24,Miscellaneous
crri,24,Institutions
national rice research institute,22,Crop & Plant
ssr markers,22,Miscellaneous
bph,22,Miscellaneous
imidacloprid,22,Crop Protection
alleles,21,Genetics & Genomics
qtls,21,Miscellaneous
climate resilience,21,Climate & Environment
panicle length,21,Morphological Traits
rice productivity,21,Crop & Plant
landraces,21,Germplasm & Genetic Resources
antioxidant activity,21,Miscellaneous
trichoderma,21,Biocontrol
rice grain,20,Crop & Plant
sheath blight,19,Abiotic Stress
submergence,19,Abiotic Stress
kvk,19,Institutions
specialty rice,19,Crop & Plant
rainfall,19,Miscellaneous
seed production,19,Seed Science
susceptible genotypes,18,Genetics & Genomics
protein content,18,Grain Quality & Nutrition
resistant genotypes,18,Genetics & Genomics
yield potential,18,Yield & Productivity
root length,18,Morphological Traits
salinity tolerance,18,Abiotic Stress
rice crop,17,Crop & Plant
stress tolerance,17,Abiotic Stress
multiple stress tolerance,17,Abiotic Stress
wild rice,16,Crop & Plant
genome editing,16,Genetics & Genomics
conservation agriculture,16,Miscellaneous
bacterial blight,16,Diseases
parboiling,16,Food & Processing
drought tolerance,16,Abiotic Stress
sheath rot,16,Abiotic Stress
swarna,16,Genetics & Genomics
ncpc,16,Miscellaneous
breeding lines,15,Plant Breeding
rice area,15,Crop & Plant
parasitoids,15,Biocontrol
mechanical weed control,15,Weed Management
genetic improvement,15,Genetics & Genomics
neck blast,15,Diseases
photosynthetic efficiency,15,Miscellaneous
premium seed varieties,15,Varieties & Cultivars
phytotoxicity,15,Miscellaneous
insect pests,14,Insect Pests
leaf blast,14,Morphological Traits
rice farming,14,Crop & Plant
msp,14,Economics & Policy
tiller number,14,Morphological Traits
seed treatment,14,Seed Science
rice accessions,14,Crop & Plant
yellow stem borer,14,Insect Pests
assam,14,Geography
herbicide mixtures,13,Crop Protection
ecosystem services,13,Climate & Environment
rice research,13,Crop & Plant
sheath blight disease,13,Abiotic Stress
salinity stress,13,Abiotic Stress
students,13,Research & Education
biotic stress management,13,Abiotic Stress
multiple abiotic stress tolerance,13,Abiotic Stress
rice based cropping system,13,Crop & Plant
amylose content,13,Grain Quality & Nutrition
virens,13,Miscellaneous
water productivity,13,Yield & Productivity
biochar,12,Miscellaneous
starch digestibility,12,Grain Quality & Nutrition
catalase,12,Physiology
nematodes,12,Miscellaneous
nutritional quality,12,Grain Quality & Nutrition
rice based production system,12,Crop & Plant
pooja,12,Miscellaneous
photosynthetic rate,11,Miscellaneous
nitrogen use efficiency,11,Nutrient Management
glycemic index,11,Grain Quality & Nutrition
capacity building,11,Miscellaneous
coarctata,11,Miscellaneous
fungicides,11,Crop Protection
