keyword,count
Urban Systems,93
GHG emissions,70
urban areas,68
China,35
climate change,32
urbanisation,30
governance,28
urban emissions,26
urban infrastructure,23
spatial planning,22
infrastructure,21
electrification,21
land use,21
SDGs,21
urban planning,20
IPCC,19
urban land expansion,18
urban mitigation,18
urban systems,18
cities,18
urban population,18
India,18
Sustainability,18
renewable energy,17
urban development,17
climate change mitigation,17
developing countries,17
Africa,16
synergies,16
United States,16
adaptation,15
mitigation potential,15
Climate Change,14
AR5,14
urban GHG emissions,14
Asia,14
CO 2 emissions,14
sustainability,13
urban form,13
urban growth,13
Cambridge University Press,12
Developed Countries,12
Europe,12
urban expansion,12
New York City,11
Latin America,11
resilience,11
mitigation,11
mitigation options,11
IEA,11
Middle East,10
carbon storage,10
urban settlements,10
supply chains,10
air quality,10
sustainable development,10
green roofs,10
global cities,10
World Bank,10
Shanghai,9
medium confidence,9
agriculture,9
urban energy system,9
climate action,9
International Energy Agency,9
Urbanization,9
Eastern Europe,8
employment,8
blue infrastructure,8
mitigation strategies,8
Biodiversity,8
urban system,8
built environment,8
climate mitigation,8
land uses,8
mobility options,8
population density,8
carbon emissions,8
circular economy,8
South Africa,8
greenhouse gas emissions,8
Kenya,8
Greenhouse Gas Emissions,7
institutional capacity,7
cycling,7
urban forests,7
informal settlements,7
biodiversity,7
informality,7
urban mitigation options,7
economic growth,7
Cities,7
climate adaptation,7
uncertainty,7
urban energy systems,7
smart energy systems,7
OECD,7
urbanization,7
United States of America,6
global emissions,6
urban,6
population,6
public health,6
mixed land use,6
carbon sequestration,6
street trees,6
committed emissions,6
rural areas,6
C40 Cities,6
planning,6
Urbanisation,6
emissions,6
equity,6
urban land use,6
cooling networks,6
food security,6
waste management,6
transportation,6
decarbonisation,6
Greenhouse gas emissions,6
SSP5,6
pandemic,6
Urban Transitions,6
Paris Agreement,6
health,6
ecosystem services,6
Green roofs,6
Land use policy,6
European cities,6
UNEP,6
United Nations,6
Australia,5
Urban systems,5
forestry,5
walking,5
heat stress,5
urban infrastructures,5
financing,5
Infrastructure,5
Ecosystem Services,5
urban mitigation strategies,5
Malaysia,5
basic services,5
carbon neutrality,5
urban trees,5
economic development,5
transport,5
Indonesia,5
modal shift,5
Settlements,5
European Union,5
urban land areas,5
urban share,5
SSP3,5
Urban areas,5
mitigation benefits,5
recycling,5
ICLEI,5
Sustainable Development Goals,5
Springer International Publishing,5
Urban Climate Action,5
Chinese cities,5
World Resources Institute,5
Urban Areas,5
climate change adaptation,5
United,4
settlements,4
Developing Countries,4
Spatial Planning,4
Urban Form,4
national emissions,4
global,4
carbon footprint,4
forests,4
carbon stocks,4
Urban infrastructures,4
regional governments,4
NewClimate Institute,4
Urban mitigation options,4
infrastructures,4
emerging economies,4
urban energy,4
energy poverty,4
Urban land use,4
green infrastructure,4
urban ecosystems,4
accessibility,4
inclusivity,4
wastewater recycling,4
urban poor,4
urban governance,4
facades,4
urban inhabitants,4
city size,4
finance,4
